week_ending,state,metric,value
2013-06-03,US TOTAL,PCT GOOD_EXCELLENT,53
2013-06-10,US TOTAL,PCT GOOD_EXCELLENT,54
2013-06-17,US TOTAL,PCT GOOD_EXCELLENT,56
2013-06-24,US TOTAL,PCT GOOD_EXCELLENT,56
2013-07-01,US TOTAL,PCT GOOD_EXCELLENT,57
2013-07-08,US TOTAL,PCT GOOD_EXCELLENT,56
2013-07-15,US TOTAL,PCT GOOD_EXCELLENT,55
2013-07-22,US TOTAL,PCT GOOD_EXCELLENT,55
2013-07-29,US TOTAL,PCT GOOD_EXCELLENT,56
2013-08-05,US TOTAL,PCT GOOD_EXCELLENT,52
2013-08-12,US TOTAL,PCT GOOD_EXCELLENT,53
2013-08-19,US TOTAL,PCT GOOD_EXCELLENT,52
2013-08-26,US TOTAL,PCT GOOD_EXCELLENT,50
2013-09-02,US TOTAL,PCT GOOD_EXCELLENT,49
2013-09-09,US TOTAL,PCT GOOD_EXCELLENT,50
2013-09-16,US TOTAL,PCT GOOD_EXCELLENT,50
2013-09-23,US TOTAL,PCT GOOD_EXCELLENT,50
2013-09-30,US TOTAL,PCT GOOD_EXCELLENT,51
2013-10-07,US TOTAL,PCT GOOD_EXCELLENT,53
2013-10-14,US TOTAL,PCT GOOD_EXCELLENT,52
2013-10-21,US TOTAL,PCT GOOD_EXCELLENT,53
2013-10-28,US TOTAL,PCT GOOD_EXCELLENT,52
2013-11-04,US TOTAL,PCT GOOD_EXCELLENT,52
2013-11-11,US TOTAL,PCT GOOD_EXCELLENT,53
2013-11-18,US TOTAL,PCT GOOD_EXCELLENT,50
2013-11-25,US TOTAL,PCT GOOD_EXCELLENT,48
2014-06-02,US TOTAL,PCT GOOD_EXCELLENT,41
2014-06-09,US TOTAL,PCT GOOD_EXCELLENT,41
2014-06-16,US TOTAL,PCT GOOD_EXCELLENT,42
2014-06-23,US TOTAL,PCT GOOD_EXCELLENT,42
2014-06-30,US TOTAL,PCT GOOD_EXCELLENT,41
2014-07-07,US TOTAL,PCT GOOD_EXCELLENT,41
2014-07-14,US TOTAL,PCT GOOD_EXCELLENT,42
2014-07-21,US TOTAL,PCT GOOD_EXCELLENT,42
2014-07-28,US TOTAL,PCT GOOD_EXCELLENT,43
2014-08-04,US TOTAL,PCT GOOD_EXCELLENT,44
2014-08-11,US TOTAL,PCT GOOD_EXCELLENT,44
2014-08-18,US TOTAL,PCT GOOD_EXCELLENT,42
2014-08-25,US TOTAL,PCT GOOD_EXCELLENT,42
2014-09-01,US TOTAL,PCT GOOD_EXCELLENT,43
2014-09-08,US TOTAL,PCT GOOD_EXCELLENT,44
2014-09-15,US TOTAL,PCT GOOD_EXCELLENT,43
2014-09-22,US TOTAL,PCT GOOD_EXCELLENT,44
2014-09-29,US TOTAL,PCT GOOD_EXCELLENT,46
2014-10-06,US TOTAL,PCT GOOD_EXCELLENT,48
2014-10-13,US TOTAL,PCT GOOD_EXCELLENT,48
2014-10-20,US TOTAL,PCT GOOD_EXCELLENT,47
2014-10-27,US TOTAL,PCT GOOD_EXCELLENT,46
2014-11-03,US TOTAL,PCT GOOD_EXCELLENT,46
2014-11-10,US TOTAL,PCT GOOD_EXCELLENT,45
2014-11-17,US TOTAL,PCT GOOD_EXCELLENT,43
2014-11-24,US TOTAL,PCT GOOD_EXCELLENT,45
2015-06-01,US TOTAL,PCT GOOD_EXCELLENT,58
2015-06-08,US TOTAL,PCT GOOD_EXCELLENT,55
2015-06-15,US TOTAL,PCT GOOD_EXCELLENT,54
2015-06-22,US TOTAL,PCT GOOD_EXCELLENT,55
2015-06-29,US TOTAL,PCT GOOD_EXCELLENT,54
2015-07-06,US TOTAL,PCT GOOD_EXCELLENT,53
2015-07-13,US TOTAL,PCT GOOD_EXCELLENT,51
2015-07-20,US TOTAL,PCT GOOD_EXCELLENT,50
2015-07-27,US TOTAL,PCT GOOD_EXCELLENT,51
2015-08-03,US TOTAL,PCT GOOD_EXCELLENT,50
2015-08-10,US TOTAL,PCT GOOD_EXCELLENT,50
2015-08-17,US TOTAL,PCT GOOD_EXCELLENT,49
2015-08-24,US TOTAL,PCT GOOD_EXCELLENT,49
2015-08-31,US TOTAL,PCT GOOD_EXCELLENT,49
