week_ending,state,metric,value
2013-06-03,US TOTAL,PCT GOOD_EXCELLENT,82
2013-06-10,US TOTAL,PCT GOOD_EXCELLENT,83
2013-06-17,US TOTAL,PCT GOOD_EXCELLENT,86
2013-06-24,US TOTAL,PCT GOOD_EXCELLENT,85
2013-07-01,US TOTAL,PCT GOOD_EXCELLENT,84
2013-07-08,US TOTAL,PCT GOOD_EXCELLENT,86
2013-07-15,US TOTAL,PCT GOOD_EXCELLENT,85
2013-07-22,US TOTAL,PCT GOOD_EXCELLENT,85
2013-07-29,US TOTAL,PCT GOOD_EXCELLENT,86
2013-08-05,US TOTAL,PCT GOOD_EXCELLENT,86
2013-08-12,US TOTAL,PCT GOOD_EXCELLENT,85
2013-08-19,US TOTAL,PCT GOOD_EXCELLENT,85
2013-08-26,US TOTAL,PCT GOOD_EXCELLENT,87
2013-09-02,US TOTAL,PCT GOOD_EXCELLENT,85
2013-09-09,US TOTAL,PCT GOOD_EXCELLENT,84
2013-09-16,US TOTAL,PCT GOOD_EXCELLENT,83
2013-09-23,US TOTAL,PCT GOOD_EXCELLENT,83
2013-09-30,US TOTAL,PCT GOOD_EXCELLENT,86
2013-10-07,US TOTAL,PCT GOOD_EXCELLENT,87
2013-10-14,US TOTAL,PCT GOOD_EXCELLENT,84
2013-10-21,US TOTAL,PCT GOOD_EXCELLENT,85
2013-10-28,US TOTAL,PCT GOOD_EXCELLENT,87
2013-11-04,US TOTAL,PCT GOOD_EXCELLENT,88
2013-11-11,US TOTAL,PCT GOOD_EXCELLENT,86
2013-11-18,US TOTAL,PCT GOOD_EXCELLENT,86
2013-11-25,US TOTAL,PCT GOOD_EXCELLENT,86
2014-06-02,US TOTAL,PCT GOOD_EXCELLENT,51
2014-06-09,US TOTAL,PCT GOOD_EXCELLENT,51
2014-06-16,US TOTAL,PCT GOOD_EXCELLENT,50
2014-06-23,US TOTAL,PCT GOOD_EXCELLENT,52
2014-06-30,US TOTAL,PCT GOOD_EXCELLENT,53
2014-07-07,US TOTAL,PCT GOOD_EXCELLENT,52
2014-07-14,US TOTAL,PCT GOOD_EXCELLENT,51
2014-07-21,US TOTAL,PCT GOOD_EXCELLENT,51
2014-07-28,US TOTAL,PCT GOOD_EXCELLENT,49
2014-08-04,US TOTAL,PCT GOOD_EXCELLENT,49
2014-08-11,US TOTAL,PCT GOOD_EXCELLENT,50
2014-08-18,US TOTAL,PCT GOOD_EXCELLENT,50
2014-08-25,US TOTAL,PCT GOOD_EXCELLENT,48
2014-09-01,US TOTAL,PCT GOOD_EXCELLENT,51
2014-09-08,US TOTAL,PCT GOOD_EXCELLENT,49
2014-09-15,US TOTAL,PCT GOOD_EXCELLENT,49
2014-09-22,US TOTAL,PCT GOOD_EXCELLENT,47
2014-09-29,US TOTAL,PCT GOOD_EXCELLENT,45
2014-10-06,US TOTAL,PCT GOOD_EXCELLENT,45
2014-10-13,US TOTAL,PCT GOOD_EXCELLENT,45
2014-10-20,US TOTAL,PCT GOOD_EXCELLENT,47
2014-10-27,US TOTAL,PCT GOOD_EXCELLENT,48
2014-11-03,US TOTAL,PCT GOOD_EXCELLENT,49
2014-11-10,US TOTAL,PCT GOOD_EXCELLENT,49
2014-11-17,US TOTAL,PCT GOOD_EXCELLENT,49
2014-11-24,US TOTAL,PCT GOOD_EXCELLENT,50
2015-06-01,US TOTAL,PCT GOOD_EXCELLENT,68
2015-06-08,US TOTAL,PCT GOOD_EXCELLENT,72
2015-06-15,US TOTAL,PCT GOOD_EXCELLENT,74
2015-06-22,US TOTAL,PCT GOOD_EXCELLENT,73
2015-06-29,US TOTAL,PCT GOOD_EXCELLENT,73
2015-07-06,US TOTAL,PCT GOOD_EXCELLENT,73
2015-07-13,US TOTAL,PCT GOOD_EXCELLENT,72
2015-07-20,US TOTAL,PCT GOOD_EXCELLENT,72
2015-07-27,US TOTAL,PCT GOOD_EXCELLENT,72
2015-08-03,US TOTAL,PCT GOOD_EXCELLENT,72
2015-08-10,US TOTAL,PCT GOOD_EXCELLENT,71
2015-08-17,US TOTAL,PCT GOOD_EXCELLENT,72
2015-08-24,US TOTAL,PCT GOOD_EXCELLENT,75
2015-08-31,US TOTAL,PCT GOOD_EXCELLENT,76
2015-09-07,US TOTAL,PCT GOOD_EXCELLENT,76
2015-09-14,US TOTAL,PCT GOOD_EXCELLENT,73
2015-09-21,US TOTAL,PCT GOOD_EXCELLENT,70
2015-09-28,US TOTAL,PCT GOOD_EXCELLENT,68
2015-10-05,US TOTAL,PCT GOOD_EXCELLENT,67
2015-10-12,US TOTAL,PCT GOOD_EXCELLENT,67
2015-10-19,US TOTAL,PCT GOOD_EXCELLENT,67
2015-10-26,US TOTAL,PCT GOOD_EXCELLENT,69
2015-11-02,US TOTAL,PCT GOOD_EXCELLENT,68
2015-11-09,US TOTAL,PCT GOOD_EXCELLENT,68
2015-11-16,US TOTAL,PCT GOOD_EXCELLENT,68
2015-11-23,US TOTAL,PCT GOOD_EXCELLENT,69
2015-11-30,US TOTAL,PCT GOOD_EXCELLENT,68
2016-06-06,US TOTAL,PCT GOOD_EXCELLENT,69
2016-06-13,US TOTAL,PCT GOOD_EXCELLENT,70
2016-06-20,US TOTAL,PCT GOOD_EXCELLENT,67
2016-06-27,US TOTAL,PCT GOOD_EXCELLENT,71
2016-07-04,US TOTAL,PCT GOOD_EXCELLENT,70
2016-07-11,US TOTAL,PCT GOOD_EXCELLENT,69
2016-07-18,US TOTAL,PCT GOOD_EXCELLENT,70
2016-07-25,US TOTAL,PCT GOOD_EXCELLENT,70
2016-08-01,US TOTAL,PCT GOOD_EXCELLENT,69
2016-08-08,US TOTAL,PCT GOOD_EXCELLENT,67
2016-08-15,US TOTAL,PCT GOOD_EXCELLENT,69
2016-08-22,US TOTAL,PCT GOOD_EXCELLENT,69
2016-08-29,US TOTAL,PCT GOOD_EXCELLENT,68
2016-09-05,US TOTAL,PCT GOOD_EXCELLENT,69
2016-09-12,US TOTAL,PCT GOOD_EXCELLENT,71
2016-09-19,US TOTAL,PCT GOOD_EXCELLENT,71
2016-09-26,US TOTAL,PCT GOOD_EXCELLENT,70
2016-10-03,US TOTAL,PCT GOOD_EXCELLENT,71
2016-10-10,US TOTAL,PCT GOOD_EXCELLENT,73
2016-10-17,US TOTAL,PCT GOOD_EXCELLENT,73
2016-10-24,US TOTAL,PCT GOOD_EXCELLENT,73
2016-10-31,US TOTAL,PCT GOOD_EXCELLENT,73
2016-11-07,US TOTAL,PCT GOOD_EXCELLENT,76
2016-11-14,US TOTAL,PCT GOOD_EXCELLENT,77
2016-11-21,US TOTAL,PCT GOOD_EXCELLENT,78
2016-11-28,US TOTAL,PCT GOOD_EXCELLENT,77
2017-06-05,US TOTAL,PCT GOOD_EXCELLENT,61
2017-06-12,US TOTAL,PCT GOOD_EXCELLENT,59
2017-06-19,US TOTAL,PCT GOOD_EXCELLENT,59
2017-06-26,US TOTAL,PCT GOOD_EXCELLENT,60
2017-07-03,US TOTAL,PCT GOOD_EXCELLENT,57
2017-07-10,US TOTAL,PCT GOOD_EXCELLENT,55
2017-07-17,US TOTAL,PCT GOOD_EXCELLENT,55
2017-07-24,US TOTAL,PCT GOOD_EXCELLENT,57
2017-07-31,US TOTAL,PCT GOOD_EXCELLENT,59
2017-08-07,US TOTAL,PCT GOOD_EXCELLENT,57
2017-08-14,US TOTAL,PCT GOOD_EXCELLENT,59
2017-08-21,US TOTAL,PCT GOOD_EXCELLENT,60
2017-08-28,US TOTAL,PCT GOOD_EXCELLENT,59
2017-09-04,US TOTAL,PCT GOOD_EXCELLENT,58
2017-09-11,US TOTAL,PCT GOOD_EXCELLENT,59
2017-09-18,US TOTAL,PCT GOOD_EXCELLENT,58
2017-09-25,US TOTAL,PCT GOOD_EXCELLENT,59
2017-10-02,US TOTAL,PCT GOOD_EXCELLENT,58
2017-10-09,US TOTAL,PCT GOOD_EXCELLENT,55
2017-10-16,US TOTAL,PCT GOOD_EXCELLENT,57
