week_ending,state,metric,value
2025-06-02,US TOTAL,PCT GOOD_EXCELLENT,56
2025-06-09,US TOTAL,PCT GOOD_EXCELLENT,56
2025-06-16,US TOTAL,PCT GOOD_EXCELLENT,57
2025-06-23,US TOTAL,PCT GOOD_EXCELLENT,56
2025-06-30,US TOTAL,PCT GOOD_EXCELLENT,55
2025-07-07,US TOTAL,PCT GOOD_EXCELLENT,53
2025-07-14,US TOTAL,PCT GOOD_EXCELLENT,57
2025-07-21,US TOTAL,PCT GOOD_EXCELLENT,58
2025-07-28,US TOTAL,PCT GOOD_EXCELLENT,61
2025-08-04,US TOTAL,PCT GOOD_EXCELLENT,60
2025-08-11,US TOTAL,PCT GOOD_EXCELLENT,61
2025-08-18,US TOTAL,PCT GOOD_EXCELLENT,60
2025-08-25,US TOTAL,PCT GOOD_EXCELLENT,57
2025-09-01,US TOTAL,PCT GOOD_EXCELLENT,55
