week_ending,state,metric,value
2025-04-07,US TOTAL,PCT GOOD_EXCELLENT,55.0
2025-04-14,US TOTAL,PCT GOOD_EXCELLENT,54.0
2025-04-21,US TOTAL,PCT GOOD_EXCELLENT,57.0
2025-04-28,US TOTAL,PCT GOOD_EXCELLENT,55.0
2025-05-05,US TOTAL,PCT GOOD_EXCELLENT,54.0
2025-05-12,US TOTAL,PCT GOOD_EXCELLENT,52.0
2025-05-19,US TOTAL,PCT GOOD_EXCELLENT,51.0
2025-05-26,US TOTAL,PCT GOOD_EXCELLENT,51.0
2025-06-02,US TOTAL,PCT GOOD_EXCELLENT,51.0
2025-06-09,US TOTAL,PCT GOOD_EXCELLENT,49.0
2025-06-16,US TOTAL,PCT GOOD_EXCELLENT,48.0
2025-06-23,US TOTAL,PCT GOOD_EXCELLENT,49.0
2025-06-30,US TOTAL,PCT GOOD_EXCELLENT,50.0
2025-07-07,US TOTAL,PCT GOOD_EXCELLENT,50.0
2025-07-14,US TOTAL,PCT GOOD_EXCELLENT,49.0
2025-07-21,US TOTAL,PCT GOOD_EXCELLENT,48.0
2025-07-28,US TOTAL,PCT GOOD_EXCELLENT,48.0
2025-08-04,US TOTAL,PCT GOOD_EXCELLENT,49.0
2025-08-11,US TOTAL,PCT GOOD_EXCELLENT,50.0
2025-08-18,US TOTAL,PCT GOOD_EXCELLENT,50.0
2025-08-25,US TOTAL,PCT GOOD_EXCELLENT,48.0
2025-09-01,US TOTAL,PCT GOOD_EXCELLENT,50.0
