week_ending,region,metric,value
2025-06-02,US,CRUSH_PACE_SURPRISE,-1.5
2025-06-09,US,CRUSH_PACE_SURPRISE,-1.9
2025-06-16,US,CRUSH_PACE_SURPRISE,-1.7
2025-06-23,US,CRUSH_PACE_SURPRISE,-0.6
2025-06-30,US,CRUSH_PACE_SURPRISE,-1.4
2025-07-07,US,CRUSH_PACE_SURPRISE,-0.8
2025-07-14,US,CRUSH_PACE_SURPRISE,-2.4
2025-07-21,US,CRUSH_PACE_SURPRISE,-4.0
2025-07-28,US,CRUSH_PACE_SURPRISE,-4.2
2025-08-04,US,CRUSH_PACE_SURPRISE,-5.1
2025-08-11,US,CRUSH_PACE_SURPRISE,-4.3
2025-08-18,US,CRUSH_PACE_SURPRISE,-3.6
2025-08-25,US,CRUSH_PACE_SURPRISE,-4.2
2025-09-01,US,CRUSH_PACE_SURPRISE,-4.5
