week_ending,region,metric,value
2025-06-02,US CORN BELT,PCT_AREA_D2PLUS,15
2025-06-09,US CORN BELT,PCT_AREA_D2PLUS,13
2025-06-16,US CORN BELT,PCT_AREA_D2PLUS,14
2025-06-23,US CORN BELT,PCT_AREA_D2PLUS,15
2025-06-30,US CORN BELT,PCT_AREA_D2PLUS,15
2025-07-07,US CORN BELT,PCT_AREA_D2PLUS,14
2025-07-14,US CORN BELT,PCT_AREA_D2PLUS,14
2025-07-21,US CORN BELT,PCT_AREA_D2PLUS,16
2025-07-28,US CORN BELT,PCT_AREA_D2PLUS,16
2025-08-04,US CORN BELT,PCT_AREA_D2PLUS,16
2025-08-11,US CORN BELT,PCT_AREA_D2PLUS,18
2025-08-18,US CORN BELT,PCT_AREA_D2PLUS,21
2025-08-25,US CORN BELT,PCT_AREA_D2PLUS,20
2025-09-01,US CORN BELT,PCT_AREA_D2PLUS,20
