week_ending,region,metric,value
2025-04-07,US CORN BELT,PCT_AREA_D2PLUS,13.0
2025-04-14,US CORN BELT,PCT_AREA_D2PLUS,13.0
2025-04-21,US CORN BELT,PCT_AREA_D2PLUS,13.0
2025-04-28,US CORN BELT,PCT_AREA_D2PLUS,12.0
2025-05-05,US CORN BELT,PCT_AREA_D2PLUS,12.0
2025-05-12,US CORN BELT,PCT_AREA_D2PLUS,12.0
2025-05-19,US CORN BELT,PCT_AREA_D2PLUS,12.0
2025-05-26,US CORN BELT,PCT_AREA_D2PLUS,11.0
2025-06-02,US CORN BELT,PCT_AREA_D2PLUS,12.0
2025-06-09,US CORN BELT,PCT_AREA_D2PLUS,11.0
2025-06-16,US CORN BELT,PCT_AREA_D2PLUS,11.0
2025-06-23,US CORN BELT,PCT_AREA_D2PLUS,10.0
2025-06-30,US CORN BELT,PCT_AREA_D2PLUS,8.0
2025-07-07,US CORN BELT,PCT_AREA_D2PLUS,10.0
2025-07-14,US CORN BELT,PCT_AREA_D2PLUS,7.0
2025-07-21,US CORN BELT,PCT_AREA_D2PLUS,6.0
2025-07-28,US CORN BELT,PCT_AREA_D2PLUS,8.0
2025-08-04,US CORN BELT,PCT_AREA_D2PLUS,7.0
2025-08-11,US CORN BELT,PCT_AREA_D2PLUS,6.0
2025-08-18,US CORN BELT,PCT_AREA_D2PLUS,7.0
2025-08-25,US CORN BELT,PCT_AREA_D2PLUS,7.0
2025-09-01,US CORN BELT,PCT_AREA_D2PLUS,7.0
