week_ending,region,metric,value
2025-06-02,US,ETHANOL_PACE_SURPRISE,6.1
2025-06-09,US,ETHANOL_PACE_SURPRISE,7.3
2025-06-16,US,ETHANOL_PACE_SURPRISE,7.7
2025-06-23,US,ETHANOL_PACE_SURPRISE,9.4
2025-06-30,US,ETHANOL_PACE_SURPRISE,9.0
2025-07-07,US,ETHANOL_PACE_SURPRISE,10.4
2025-07-14,US,ETHANOL_PACE_SURPRISE,10.6
2025-07-21,US,ETHANOL_PACE_SURPRISE,10.2
2025-07-28,US,ETHANOL_PACE_SURPRISE,10.6
2025-08-04,US,ETHANOL_PACE_SURPRISE,11.0
2025-08-11,US,ETHANOL_PACE_SURPRISE,11.7
2025-08-18,US,ETHANOL_PACE_SURPRISE,11.9
2025-08-25,US,ETHANOL_PACE_SURPRISE,10.3
2025-09-01,US,ETHANOL_PACE_SURPRISE,10.3
