week_ending,region,metric,value
2025-06-02,US,ETHANOL_PACE_SURPRISE,-3.4
2025-06-09,US,ETHANOL_PACE_SURPRISE,-2.7
2025-06-16,US,ETHANOL_PACE_SURPRISE,-3.3
2025-06-23,US,ETHANOL_PACE_SURPRISE,-3.4
2025-06-30,US,ETHANOL_PACE_SURPRISE,-2.5
2025-07-07,US,ETHANOL_PACE_SURPRISE,-2.3
2025-07-14,US,ETHANOL_PACE_SURPRISE,-3.1
2025-07-21,US,ETHANOL_PACE_SURPRISE,-2.9
2025-07-28,US,ETHANOL_PACE_SURPRISE,-3.0
2025-08-04,US,ETHANOL_PACE_SURPRISE,-3.3
2025-08-11,US,ETHANOL_PACE_SURPRISE,-2.1
2025-08-18,US,ETHANOL_PACE_SURPRISE,-0.7
2025-08-25,US,ETHANOL_PACE_SURPRISE,-0.3
2025-09-01,US,ETHANOL_PACE_SURPRISE,-0.3
