week_ending,commodity,metric,value
2025-06-02,CORN,EXPORT_PACE_SURPRISE,-8.9
2025-06-09,CORN,EXPORT_PACE_SURPRISE,-8.3
2025-06-16,CORN,EXPORT_PACE_SURPRISE,-6.9
2025-06-23,CORN,EXPORT_PACE_SURPRISE,-7.0
2025-06-30,CORN,EXPORT_PACE_SURPRISE,-6.8
2025-07-07,CORN,EXPORT_PACE_SURPRISE,-6.4
2025-07-14,CORN,EXPORT_PACE_SURPRISE,-6.5
2025-07-21,CORN,EXPORT_PACE_SURPRISE,-6.1
2025-07-28,CORN,EXPORT_PACE_SURPRISE,-6.3
2025-08-04,CORN,EXPORT_PACE_SURPRISE,-6.1
2025-08-11,CORN,EXPORT_PACE_SURPRISE,-6.0
2025-08-18,CORN,EXPORT_PACE_SURPRISE,-5.6
2025-08-25,CORN,EXPORT_PACE_SURPRISE,-5.8
2025-09-01,CORN,EXPORT_PACE_SURPRISE,-4.7
