week_ending,commodity,metric,value
2025-06-02,CORN,EXPORT_PACE_SURPRISE,-1.1
2025-06-09,CORN,EXPORT_PACE_SURPRISE,-1.8
2025-06-16,CORN,EXPORT_PACE_SURPRISE,-1.1
2025-06-23,CORN,EXPORT_PACE_SURPRISE,-2.3
2025-06-30,CORN,EXPORT_PACE_SURPRISE,-1.4
2025-07-07,CORN,EXPORT_PACE_SURPRISE,-0.9
2025-07-14,CORN,EXPORT_PACE_SURPRISE,-2.3
2025-07-21,CORN,EXPORT_PACE_SURPRISE,-2.3
2025-07-28,CORN,EXPORT_PACE_SURPRISE,-1.9
2025-08-04,CORN,EXPORT_PACE_SURPRISE,-1.5
2025-08-11,CORN,EXPORT_PACE_SURPRISE,-2.0
2025-08-18,CORN,EXPORT_PACE_SURPRISE,-2.6
2025-08-25,CORN,EXPORT_PACE_SURPRISE,-2.0
2025-09-01,CORN,EXPORT_PACE_SURPRISE,-4.0
