week_ending,commodity,metric,value
2025-06-02,SOYBEANS,EXPORT_PACE_SURPRISE,9.1
2025-06-09,SOYBEANS,EXPORT_PACE_SURPRISE,10.0
2025-06-16,SOYBEANS,EXPORT_PACE_SURPRISE,9.7
2025-06-23,SOYBEANS,EXPORT_PACE_SURPRISE,10.5
2025-06-30,SOYBEANS,EXPORT_PACE_SURPRISE,10.5
2025-07-07,SOYBEANS,EXPORT_PACE_SURPRISE,10.1
2025-07-14,SOYBEANS,EXPORT_PACE_SURPRISE,10.6
2025-07-21,SOYBEANS,EXPORT_PACE_SURPRISE,12.4
2025-07-28,SOYBEANS,EXPORT_PACE_SURPRISE,12.5
2025-08-04,SOYBEANS,EXPORT_PACE_SURPRISE,16.6
2025-08-11,SOYBEANS,EXPORT_PACE_SURPRISE,16.6
2025-08-18,SOYBEANS,EXPORT_PACE_SURPRISE,14.8
2025-08-25,SOYBEANS,EXPORT_PACE_SURPRISE,15.4
2025-09-01,SOYBEANS,EXPORT_PACE_SURPRISE,15.3
