week_ending,commodity,metric,value
2025-06-02,WHEAT,EXPORT_PACE_SURPRISE,0.7
2025-06-09,WHEAT,EXPORT_PACE_SURPRISE,0.9
2025-06-16,WHEAT,EXPORT_PACE_SURPRISE,1.3
2025-06-23,WHEAT,EXPORT_PACE_SURPRISE,2.1
2025-06-30,WHEAT,EXPORT_PACE_SURPRISE,1.8
2025-07-07,WHEAT,EXPORT_PACE_SURPRISE,3.7
2025-07-14,WHEAT,EXPORT_PACE_SURPRISE,2.8
2025-07-21,WHEAT,EXPORT_PACE_SURPRISE,1.1
2025-07-28,WHEAT,EXPORT_PACE_SURPRISE,1.3
2025-08-04,WHEAT,EXPORT_PACE_SURPRISE,2.5
2025-08-11,WHEAT,EXPORT_PACE_SURPRISE,3.4
2025-08-18,WHEAT,EXPORT_PACE_SURPRISE,3.3
2025-08-25,WHEAT,EXPORT_PACE_SURPRISE,4.1
2025-09-01,WHEAT,EXPORT_PACE_SURPRISE,4.4
