week_ending,region,metric,value
2013-06-03,US CORN BELT,PCT_AREA_D2PLUS,13.0
2013-06-10,US CORN BELT,PCT_AREA_D2PLUS,10.0
2013-06-17,US CORN BELT,PCT_AREA_D2PLUS,10.0
2013-06-24,US CORN BELT,PCT_AREA_D2PLUS,11.0
2013-07-01,US CORN BELT,PCT_AREA_D2PLUS,11.0
2013-07-08,US CORN BELT,PCT_AREA_D2PLUS,12.0
2013-07-15,US CORN BELT,PCT_AREA_D2PLUS,12.0
2013-07-22,US CORN BELT,PCT_AREA_D2PLUS,13.0
2013-07-29,US CORN BELT,PCT_AREA_D2PLUS,13.0
2013-08-05,US CORN BELT,PCT_AREA_D2PLUS,11.0
2013-08-12,US CORN BELT,PCT_AREA_D2PLUS,12.0
2013-08-19,US CORN BELT,PCT_AREA_D2PLUS,11.0
2013-08-26,US CORN BELT,PCT_AREA_D2PLUS,12.0
2013-09-02,US CORN BELT,PCT_AREA_D2PLUS,10.0
2013-09-09,US CORN BELT,PCT_AREA_D2PLUS,11.0
2013-09-16,US CORN BELT,PCT_AREA_D2PLUS,11.0
2013-09-23,US CORN BELT,PCT_AREA_D2PLUS,10.0
2013-09-30,US CORN BELT,PCT_AREA_D2PLUS,11.0
2013-10-07,US CORN BELT,PCT_AREA_D2PLUS,11.0
2013-10-14,US CORN BELT,PCT_AREA_D2PLUS,11.0
2013-10-21,US CORN BELT,PCT_AREA_D2PLUS,12.0
2013-10-28,US CORN BELT,PCT_AREA_D2PLUS,14.0
2013-11-04,US CORN BELT,PCT_AREA_D2PLUS,12.0
2013-11-11,US CORN BELT,PCT_AREA_D2PLUS,13.0
2013-11-18,US CORN BELT,PCT_AREA_D2PLUS,13.0
2013-11-25,US CORN BELT,PCT_AREA_D2PLUS,11.0
2014-06-02,US CORN BELT,PCT_AREA_D2PLUS,13.0
2014-06-09,US CORN BELT,PCT_AREA_D2PLUS,15.0
2014-06-16,US CORN BELT,PCT_AREA_D2PLUS,14.0
2014-06-23,US CORN BELT,PCT_AREA_D2PLUS,15.0
2014-06-30,US CORN BELT,PCT_AREA_D2PLUS,13.0
2014-07-07,US CORN BELT,PCT_AREA_D2PLUS,13.0
2014-07-14,US CORN BELT,PCT_AREA_D2PLUS,10.0
2014-07-21,US CORN BELT,PCT_AREA_D2PLUS,10.0
2014-07-28,US CORN BELT,PCT_AREA_D2PLUS,11.0
2014-08-04,US CORN BELT,PCT_AREA_D2PLUS,12.0
2014-08-11,US CORN BELT,PCT_AREA_D2PLUS,10.0
2014-08-18,US CORN BELT,PCT_AREA_D2PLUS,10.0
2014-08-25,US CORN BELT,PCT_AREA_D2PLUS,10.0
2014-09-01,US CORN BELT,PCT_AREA_D2PLUS,10.0
2014-09-08,US CORN BELT,PCT_AREA_D2PLUS,11.0
2014-09-15,US CORN BELT,PCT_AREA_D2PLUS,12.0
2014-09-22,US CORN BELT,PCT_AREA_D2PLUS,13.0
2014-09-29,US CORN BELT,PCT_AREA_D2PLUS,13.0
2014-10-06,US CORN BELT,PCT_AREA_D2PLUS,15.0
2014-10-13,US CORN BELT,PCT_AREA_D2PLUS,16.0
2014-10-20,US CORN BELT,PCT_AREA_D2PLUS,15.0
2014-10-27,US CORN BELT,PCT_AREA_D2PLUS,14.0
2014-11-03,US CORN BELT,PCT_AREA_D2PLUS,14.0
2014-11-10,US CORN BELT,PCT_AREA_D2PLUS,15.0
2014-11-17,US CORN BELT,PCT_AREA_D2PLUS,16.0
2014-11-24,US CORN BELT,PCT_AREA_D2PLUS,15.0
2015-06-01,US CORN BELT,PCT_AREA_D2PLUS,15.0
2015-06-08,US CORN BELT,PCT_AREA_D2PLUS,16.0
2015-06-15,US CORN BELT,PCT_AREA_D2PLUS,16.0
2015-06-22,US CORN BELT,PCT_AREA_D2PLUS,16.0
2015-06-29,US CORN BELT,PCT_AREA_D2PLUS,18.0
2015-07-06,US CORN BELT,PCT_AREA_D2PLUS,19.0
2015-07-13,US CORN BELT,PCT_AREA_D2PLUS,19.0
2015-07-20,US CORN BELT,PCT_AREA_D2PLUS,20.0
2015-07-27,US CORN BELT,PCT_AREA_D2PLUS,19.0
2015-08-03,US CORN BELT,PCT_AREA_D2PLUS,22.0
2015-08-10,US CORN BELT,PCT_AREA_D2PLUS,22.0
2015-08-17,US CORN BELT,PCT_AREA_D2PLUS,21.0
2015-08-24,US CORN BELT,PCT_AREA_D2PLUS,22.0
2015-08-31,US CORN BELT,PCT_AREA_D2PLUS,24.0
2015-09-07,US CORN BELT,PCT_AREA_D2PLUS,22.0
2015-09-14,US CORN BELT,PCT_AREA_D2PLUS,24.0
2015-09-21,US CORN BELT,PCT_AREA_D2PLUS,24.0
2015-09-28,US CORN BELT,PCT_AREA_D2PLUS,24.0
2015-10-05,US CORN BELT,PCT_AREA_D2PLUS,24.0
2015-10-12,US CORN BELT,PCT_AREA_D2PLUS,25.0
2015-10-19,US CORN BELT,PCT_AREA_D2PLUS,27.0
2015-10-26,US CORN BELT,PCT_AREA_D2PLUS,26.0
2015-11-02,US CORN BELT,PCT_AREA_D2PLUS,27.0
2015-11-09,US CORN BELT,PCT_AREA_D2PLUS,27.0
2015-11-16,US CORN BELT,PCT_AREA_D2PLUS,26.0
2015-11-23,US CORN BELT,PCT_AREA_D2PLUS,27.0
2015-11-30,US CORN BELT,PCT_AREA_D2PLUS,29.0
2016-06-06,US CORN BELT,PCT_AREA_D2PLUS,20.0
2016-06-13,US CORN BELT,PCT_AREA_D2PLUS,22.0
2016-06-20,US CORN BELT,PCT_AREA_D2PLUS,22.0
2016-06-27,US CORN BELT,PCT_AREA_D2PLUS,22.0
2016-07-04,US CORN BELT,PCT_AREA_D2PLUS,23.0
