week_ending,region,metric,value
2013-06-03,US,ETHANOL_PACE_SURPRISE,-5.8
2013-06-10,US,ETHANOL_PACE_SURPRISE,-6.7
2013-06-17,US,ETHANOL_PACE_SURPRISE,-6.0
2013-06-24,US,ETHANOL_PACE_SURPRISE,-6.3
2013-07-01,US,ETHANOL_PACE_SURPRISE,-6.3
2013-07-08,US,ETHANOL_PACE_SURPRISE,-6.4
2013-07-15,US,ETHANOL_PACE_SURPRISE,-6.2
2013-07-22,US,ETHANOL_PACE_SURPRISE,-7.2
2013-07-29,US,ETHANOL_PACE_SURPRISE,-6.5
2013-08-05,US,ETHANOL_PACE_SURPRISE,-6.8
2013-08-12,US,ETHANOL_PACE_SURPRISE,-6.6
2013-08-19,US,ETHANOL_PACE_SURPRISE,-5.6
2013-08-26,US,ETHANOL_PACE_SURPRISE,-5.3
2013-09-02,US,ETHANOL_PACE_SURPRISE,-5.4
2013-09-09,US,ETHANOL_PACE_SURPRISE,-5.4
2013-09-16,US,ETHANOL_PACE_SURPRISE,-5.0
2013-09-23,US,ETHANOL_PACE_SURPRISE,-5.9
2013-09-30,US,ETHANOL_PACE_SURPRISE,-5.8
2013-10-07,US,ETHANOL_PACE_SURPRISE,-4.7
2013-10-14,US,ETHANOL_PACE_SURPRISE,-5.7
2013-10-21,US,ETHANOL_PACE_SURPRISE,-6.0
2013-10-28,US,ETHANOL_PACE_SURPRISE,-7.1
2013-11-04,US,ETHANOL_PACE_SURPRISE,-5.3
2013-11-11,US,ETHANOL_PACE_SURPRISE,-7.4
2013-11-18,US,ETHANOL_PACE_SURPRISE,-7.5
2013-11-25,US,ETHANOL_PACE_SURPRISE,-6.7
2014-06-02,US,ETHANOL_PACE_SURPRISE,-3.5
2014-06-09,US,ETHANOL_PACE_SURPRISE,-3.1
2014-06-16,US,ETHANOL_PACE_SURPRISE,-3.2
2014-06-23,US,ETHANOL_PACE_SURPRISE,-3.7
2014-06-30,US,ETHANOL_PACE_SURPRISE,-2.6
2014-07-07,US,ETHANOL_PACE_SURPRISE,-2.3
2014-07-14,US,ETHANOL_PACE_SURPRISE,-1.1
2014-07-21,US,ETHANOL_PACE_SURPRISE,1.1
2014-07-28,US,ETHANOL_PACE_SURPRISE,0.8
2014-08-04,US,ETHANOL_PACE_SURPRISE,1.2
2014-08-11,US,ETHANOL_PACE_SURPRISE,2.1
2014-08-18,US,ETHANOL_PACE_SURPRISE,1.1
2014-08-25,US,ETHANOL_PACE_SURPRISE,1.5
2014-09-01,US,ETHANOL_PACE_SURPRISE,1.9
2014-09-08,US,ETHANOL_PACE_SURPRISE,1.0
2014-09-15,US,ETHANOL_PACE_SURPRISE,1.9
2014-09-22,US,ETHANOL_PACE_SURPRISE,0.4
2014-09-29,US,ETHANOL_PACE_SURPRISE,2.2
2014-10-06,US,ETHANOL_PACE_SURPRISE,3.8
2014-10-13,US,ETHANOL_PACE_SURPRISE,3.5
2014-10-20,US,ETHANOL_PACE_SURPRISE,2.1
2014-10-27,US,ETHANOL_PACE_SURPRISE,3.3
2014-11-03,US,ETHANOL_PACE_SURPRISE,3.6
2014-11-10,US,ETHANOL_PACE_SURPRISE,3.4
2014-11-17,US,ETHANOL_PACE_SURPRISE,4.0
2014-11-24,US,ETHANOL_PACE_SURPRISE,3.1
2015-06-01,US,ETHANOL_PACE_SURPRISE,-0.4
2015-06-08,US,ETHANOL_PACE_SURPRISE,-2.0
2015-06-15,US,ETHANOL_PACE_SURPRISE,-2.3
2015-06-22,US,ETHANOL_PACE_SURPRISE,-2.6
2015-06-29,US,ETHANOL_PACE_SURPRISE,-2.8
2015-07-06,US,ETHANOL_PACE_SURPRISE,-2.3
2015-07-13,US,ETHANOL_PACE_SURPRISE,-2.3
2015-07-20,US,ETHANOL_PACE_SURPRISE,-1.6
2015-07-27,US,ETHANOL_PACE_SURPRISE,-1.3
2015-08-03,US,ETHANOL_PACE_SURPRISE,-2.4
2015-08-10,US,ETHANOL_PACE_SURPRISE,-2.8
2015-08-17,US,ETHANOL_PACE_SURPRISE,-3.5
2015-08-24,US,ETHANOL_PACE_SURPRISE,-4.4
2015-08-31,US,ETHANOL_PACE_SURPRISE,-6.1
2015-09-07,US,ETHANOL_PACE_SURPRISE,-5.2
2015-09-14,US,ETHANOL_PACE_SURPRISE,-5.0
2015-09-21,US,ETHANOL_PACE_SURPRISE,-4.4
2015-09-28,US,ETHANOL_PACE_SURPRISE,-4.4
2015-10-05,US,ETHANOL_PACE_SURPRISE,-4.8
2015-10-12,US,ETHANOL_PACE_SURPRISE,-4.5
2015-10-19,US,ETHANOL_PACE_SURPRISE,-5.7
2015-10-26,US,ETHANOL_PACE_SURPRISE,-5.8
2015-11-02,US,ETHANOL_PACE_SURPRISE,-5.7
2015-11-09,US,ETHANOL_PACE_SURPRISE,-5.6
2015-11-16,US,ETHANOL_PACE_SURPRISE,-5.8
2015-11-23,US,ETHANOL_PACE_SURPRISE,-6.6
2015-11-30,US,ETHANOL_PACE_SURPRISE,-7.2
2016-06-06,US,ETHANOL_PACE_SURPRISE,1.3
2016-06-13,US,ETHANOL_PACE_SURPRISE,-0.1
2016-06-20,US,ETHANOL_PACE_SURPRISE,1.3
2016-06-27,US,ETHANOL_PACE_SURPRISE,1.9
2016-07-04,US,ETHANOL_PACE_SURPRISE,1.7
2016-07-11,US,ETHANOL_PACE_SURPRISE,1.9
2016-07-18,US,ETHANOL_PACE_SURPRISE,1.4
2016-07-25,US,ETHANOL_PACE_SURPRISE,2.0
2016-08-01,US,ETHANOL_PACE_SURPRISE,2.3
2016-08-08,US,ETHANOL_PACE_SURPRISE,3.4
2016-08-15,US,ETHANOL_PACE_SURPRISE,4.3
2016-08-22,US,ETHANOL_PACE_SURPRISE,5.2
2016-08-29,US,ETHANOL_PACE_SURPRISE,4.7
2016-09-05,US,ETHANOL_PACE_SURPRISE,4.1
2016-09-12,US,ETHANOL_PACE_SURPRISE,4.9
2016-09-19,US,ETHANOL_PACE_SURPRISE,3.8
2016-09-26,US,ETHANOL_PACE_SURPRISE,1.4
2016-10-03,US,ETHANOL_PACE_SURPRISE,1.8
2016-10-10,US,ETHANOL_PACE_SURPRISE,1.9
2016-10-17,US,ETHANOL_PACE_SURPRISE,2.3
2016-10-24,US,ETHANOL_PACE_SURPRISE,3.2
2016-10-31,US,ETHANOL_PACE_SURPRISE,2.5
2016-11-07,US,ETHANOL_PACE_SURPRISE,2.6
2016-11-14,US,ETHANOL_PACE_SURPRISE,3.4
2016-11-21,US,ETHANOL_PACE_SURPRISE,4.1
2016-11-28,US,ETHANOL_PACE_SURPRISE,4.8
2017-06-05,US,ETHANOL_PACE_SURPRISE,7.3
2017-06-12,US,ETHANOL_PACE_SURPRISE,7.0
2017-06-19,US,ETHANOL_PACE_SURPRISE,6.9
2017-06-26,US,ETHANOL_PACE_SURPRISE,6.2
2017-07-03,US,ETHANOL_PACE_SURPRISE,6.8
2017-07-10,US,ETHANOL_PACE_SURPRISE,6.0
2017-07-17,US,ETHANOL_PACE_SURPRISE,5.7
2017-07-24,US,ETHANOL_PACE_SURPRISE,6.2
2017-07-31,US,ETHANOL_PACE_SURPRISE,6.7
2017-08-07,US,ETHANOL_PACE_SURPRISE,5.7
2017-08-14,US,ETHANOL_PACE_SURPRISE,4.1
2017-08-21,US,ETHANOL_PACE_SURPRISE,3.9
2017-08-28,US,ETHANOL_PACE_SURPRISE,4.4
2017-09-04,US,ETHANOL_PACE_SURPRISE,5.8
2017-09-11,US,ETHANOL_PACE_SURPRISE,4.7
2017-09-18,US,ETHANOL_PACE_SURPRISE,5.8
2017-09-25,US,ETHANOL_PACE_SURPRISE,6.3
2017-10-02,US,ETHANOL_PACE_SURPRISE,6.3
2017-10-09,US,ETHANOL_PACE_SURPRISE,5.3
2017-10-16,US,ETHANOL_PACE_SURPRISE,6.3
2017-10-23,US,ETHANOL_PACE_SURPRISE,7.4
2017-10-30,US,ETHANOL_PACE_SURPRISE,8.1
2017-11-06,US,ETHANOL_PACE_SURPRISE,8.4
2017-11-13,US,ETHANOL_PACE_SURPRISE,8.3
2017-11-20,US,ETHANOL_PACE_SURPRISE,9.6
2017-11-27,US,ETHANOL_PACE_SURPRISE,10.1
2018-06-04,US,ETHANOL_PACE_SURPRISE,1.0
2018-06-11,US,ETHANOL_PACE_SURPRISE,1.6
2018-06-18,US,ETHANOL_PACE_SURPRISE,0.7
2018-06-25,US,ETHANOL_PACE_SURPRISE,-0.6
2018-07-02,US,ETHANOL_PACE_SURPRISE,0.3
2018-07-09,US,ETHANOL_PACE_SURPRISE,0.7
2018-07-16,US,ETHANOL_PACE_SURPRISE,1.4
2018-07-23,US,ETHANOL_PACE_SURPRISE,1.8
2018-07-30,US,ETHANOL_PACE_SURPRISE,1.5
2018-08-06,US,ETHANOL_PACE_SURPRISE,1.1
2018-08-13,US,ETHANOL_PACE_SURPRISE,1.1
2018-08-20,US,ETHANOL_PACE_SURPRISE,0.9
2018-08-27,US,ETHANOL_PACE_SURPRISE,1.8
2018-09-03,US,ETHANOL_PACE_SURPRISE,1.5
2018-09-10,US,ETHANOL_PACE_SURPRISE,1.8
2018-09-17,US,ETHANOL_PACE_SURPRISE,1.1
2018-09-24,US,ETHANOL_PACE_SURPRISE,0.3
2018-10-01,US,ETHANOL_PACE_SURPRISE,1.1
2018-10-08,US,ETHANOL_PACE_SURPRISE,0.9
2018-10-15,US,ETHANOL_PACE_SURPRISE,1.8
2018-10-22,US,ETHANOL_PACE_SURPRISE,2.2
2018-10-29,US,ETHANOL_PACE_SURPRISE,2.3
2018-11-05,US,ETHANOL_PACE_SURPRISE,3.6
2018-11-12,US,ETHANOL_PACE_SURPRISE,3.7
2018-11-19,US,ETHANOL_PACE_SURPRISE,4.3
2018-11-26,US,ETHANOL_PACE_SURPRISE,3.4
2019-06-03,US,ETHANOL_PACE_SURPRISE,-3.7
2019-06-10,US,ETHANOL_PACE_SURPRISE,-3.9
2019-06-17,US,ETHANOL_PACE_SURPRISE,-2.8
2019-06-24,US,ETHANOL_PACE_SURPRISE,-4.5
2019-07-01,US,ETHANOL_PACE_SURPRISE,-3.1
2019-07-08,US,ETHANOL_PACE_SURPRISE,-1.4
2019-07-15,US,ETHANOL_PACE_SURPRISE,-1.4
2019-07-22,US,ETHANOL_PACE_SURPRISE,-1.5
2019-07-29,US,ETHANOL_PACE_SURPRISE,-2.6
2019-08-05,US,ETHANOL_PACE_SURPRISE,-4.0
2019-08-12,US,ETHANOL_PACE_SURPRISE,-4.3
2019-08-19,US,ETHANOL_PACE_SURPRISE,-4.4
2019-08-26,US,ETHANOL_PACE_SURPRISE,-3.3
2019-09-02,US,ETHANOL_PACE_SURPRISE,-3.3
2019-09-09,US,ETHANOL_PACE_SURPRISE,-2.6
2019-09-16,US,ETHANOL_PACE_SURPRISE,-2.4
2019-09-23,US,ETHANOL_PACE_SURPRISE,-2.5
2019-09-30,US,ETHANOL_PACE_SURPRISE,-2.1
2019-10-07,US,ETHANOL_PACE_SURPRISE,-1.4
2019-10-14,US,ETHANOL_PACE_SURPRISE,-1.3
2019-10-21,US,ETHANOL_PACE_SURPRISE,-2.7
2019-10-28,US,ETHANOL_PACE_SURPRISE,-2.1
2019-11-04,US,ETHANOL_PACE_SURPRISE,-1.5
2019-11-11,US,ETHANOL_PACE_SURPRISE,-1.7
2019-11-18,US,ETHANOL_PACE_SURPRISE,-2.3
2019-11-25,US,ETHANOL_PACE_SURPRISE,-3.2
2020-06-01,US,ETHANOL_PACE_SURPRISE,-3.5
2020-06-08,US,ETHANOL_PACE_SURPRISE,-2.1
2020-06-15,US,ETHANOL_PACE_SURPRISE,-2.1
2020-06-22,US,ETHANOL_PACE_SURPRISE,-3.6
2020-06-29,US,ETHANOL_PACE_SURPRISE,-3.8
2020-07-06,US,ETHANOL_PACE_SURPRISE,-3.3
2020-07-13,US,ETHANOL_PACE_SURPRISE,-3.4
2020-07-20,US,ETHANOL_PACE_SURPRISE,-3.4
2020-07-27,US,ETHANOL_PACE_SURPRISE,-2.8
2020-08-03,US,ETHANOL_PACE_SURPRISE,-1.9
2020-08-10,US,ETHANOL_PACE_SURPRISE,-1.6
2020-08-17,US,ETHANOL_PACE_SURPRISE,-1.9
2020-08-24,US,ETHANOL_PACE_SURPRISE,-2.4
2020-08-31,US,ETHANOL_PACE_SURPRISE,-1.3
2020-09-07,US,ETHANOL_PACE_SURPRISE,-0.0
2020-09-14,US,ETHANOL_PACE_SURPRISE,1.5
2020-09-21,US,ETHANOL_PACE_SURPRISE,1.9
2020-09-28,US,ETHANOL_PACE_SURPRISE,2.4
2020-10-05,US,ETHANOL_PACE_SURPRISE,1.8
2020-10-12,US,ETHANOL_PACE_SURPRISE,2.3
2020-10-19,US,ETHANOL_PACE_SURPRISE,3.2
2020-10-26,US,ETHANOL_PACE_SURPRISE,2.2
2020-11-02,US,ETHANOL_PACE_SURPRISE,2.9
2020-11-09,US,ETHANOL_PACE_SURPRISE,3.6
2020-11-16,US,ETHANOL_PACE_SURPRISE,3.8
2020-11-23,US,ETHANOL_PACE_SURPRISE,4.0
2020-11-30,US,ETHANOL_PACE_SURPRISE,3.9
2021-06-07,US,ETHANOL_PACE_SURPRISE,6.4
2021-06-14,US,ETHANOL_PACE_SURPRISE,5.5
2021-06-21,US,ETHANOL_PACE_SURPRISE,5.8
2021-06-28,US,ETHANOL_PACE_SURPRISE,7.6
2021-07-05,US,ETHANOL_PACE_SURPRISE,7.2
2021-07-12,US,ETHANOL_PACE_SURPRISE,7.8
2021-07-19,US,ETHANOL_PACE_SURPRISE,8.5
2021-07-26,US,ETHANOL_PACE_SURPRISE,8.2
2021-08-02,US,ETHANOL_PACE_SURPRISE,7.9
2021-08-09,US,ETHANOL_PACE_SURPRISE,7.2
2021-08-16,US,ETHANOL_PACE_SURPRISE,8.2
2021-08-23,US,ETHANOL_PACE_SURPRISE,8.1
2021-08-30,US,ETHANOL_PACE_SURPRISE,6.2
2021-09-06,US,ETHANOL_PACE_SURPRISE,5.3
2021-09-13,US,ETHANOL_PACE_SURPRISE,5.6
2021-09-20,US,ETHANOL_PACE_SURPRISE,6.0
2021-09-27,US,ETHANOL_PACE_SURPRISE,6.2
2021-10-04,US,ETHANOL_PACE_SURPRISE,4.9
2021-10-11,US,ETHANOL_PACE_SURPRISE,6.0
2021-10-18,US,ETHANOL_PACE_SURPRISE,5.1
2021-10-25,US,ETHANOL_PACE_SURPRISE,4.7
2021-11-01,US,ETHANOL_PACE_SURPRISE,4.6
2021-11-08,US,ETHANOL_PACE_SURPRISE,4.8
2021-11-15,US,ETHANOL_PACE_SURPRISE,4.4
2021-11-22,US,ETHANOL_PACE_SURPRISE,3.9
2021-11-29,US,ETHANOL_PACE_SURPRISE,3.6
2022-06-06,US,ETHANOL_PACE_SURPRISE,3.6
2022-06-13,US,ETHANOL_PACE_SURPRISE,3.9
2022-06-20,US,ETHANOL_PACE_SURPRISE,4.0
2022-06-27,US,ETHANOL_PACE_SURPRISE,3.6
2022-07-04,US,ETHANOL_PACE_SURPRISE,2.1
2022-07-11,US,ETHANOL_PACE_SURPRISE,2.4
2022-07-18,US,ETHANOL_PACE_SURPRISE,3.1
2022-07-25,US,ETHANOL_PACE_SURPRISE,3.7
2022-08-01,US,ETHANOL_PACE_SURPRISE,2.5
2022-08-08,US,ETHANOL_PACE_SURPRISE,3.9
2022-08-15,US,ETHANOL_PACE_SURPRISE,3.7
2022-08-22,US,ETHANOL_PACE_SURPRISE,4.4
2022-08-29,US,ETHANOL_PACE_SURPRISE,4.6
2022-09-05,US,ETHANOL_PACE_SURPRISE,4.1
2022-09-12,US,ETHANOL_PACE_SURPRISE,4.5
2022-09-19,US,ETHANOL_PACE_SURPRISE,4.1
2022-09-26,US,ETHANOL_PACE_SURPRISE,3.7
2022-10-03,US,ETHANOL_PACE_SURPRISE,4.0
2022-10-10,US,ETHANOL_PACE_SURPRISE,2.7
2022-10-17,US,ETHANOL_PACE_SURPRISE,2.4
2022-10-24,US,ETHANOL_PACE_SURPRISE,3.1
2022-10-31,US,ETHANOL_PACE_SURPRISE,4.1
2022-11-07,US,ETHANOL_PACE_SURPRISE,4.1
2022-11-14,US,ETHANOL_PACE_SURPRISE,4.0
2022-11-21,US,ETHANOL_PACE_SURPRISE,4.7
2022-11-28,US,ETHANOL_PACE_SURPRISE,5.7
2023-06-05,US,ETHANOL_PACE_SURPRISE,6.6
2023-06-12,US,ETHANOL_PACE_SURPRISE,5.9
2023-06-19,US,ETHANOL_PACE_SURPRISE,5.8
2023-06-26,US,ETHANOL_PACE_SURPRISE,4.1
2023-07-03,US,ETHANOL_PACE_SURPRISE,4.3
2023-07-10,US,ETHANOL_PACE_SURPRISE,4.9
2023-07-17,US,ETHANOL_PACE_SURPRISE,4.9
2023-07-24,US,ETHANOL_PACE_SURPRISE,5.4
2023-07-31,US,ETHANOL_PACE_SURPRISE,5.6
2023-08-07,US,ETHANOL_PACE_SURPRISE,6.7
2023-08-14,US,ETHANOL_PACE_SURPRISE,7.2
2023-08-21,US,ETHANOL_PACE_SURPRISE,7.3
2023-08-28,US,ETHANOL_PACE_SURPRISE,6.8
2023-09-04,US,ETHANOL_PACE_SURPRISE,7.2
2023-09-11,US,ETHANOL_PACE_SURPRISE,6.1
2023-09-18,US,ETHANOL_PACE_SURPRISE,8.1
2023-09-25,US,ETHANOL_PACE_SURPRISE,7.1
2023-10-02,US,ETHANOL_PACE_SURPRISE,7.5
2023-10-09,US,ETHANOL_PACE_SURPRISE,8.0
2023-10-16,US,ETHANOL_PACE_SURPRISE,7.9
2023-10-23,US,ETHANOL_PACE_SURPRISE,7.6
2023-10-30,US,ETHANOL_PACE_SURPRISE,7.2
2023-11-06,US,ETHANOL_PACE_SURPRISE,7.5
2023-11-13,US,ETHANOL_PACE_SURPRISE,7.5
2023-11-20,US,ETHANOL_PACE_SURPRISE,8.9
2023-11-27,US,ETHANOL_PACE_SURPRISE,8.5
2024-06-03,US,ETHANOL_PACE_SURPRISE,2.3
2024-06-10,US,ETHANOL_PACE_SURPRISE,2.4
2024-06-17,US,ETHANOL_PACE_SURPRISE,2.2
2024-06-24,US,ETHANOL_PACE_SURPRISE,1.8
2024-07-01,US,ETHANOL_PACE_SURPRISE,2.7
2024-07-08,US,ETHANOL_PACE_SURPRISE,2.1
2024-07-15,US,ETHANOL_PACE_SURPRISE,2.1
2024-07-22,US,ETHANOL_PACE_SURPRISE,2.0
2024-07-29,US,ETHANOL_PACE_SURPRISE,1.7
2024-08-05,US,ETHANOL_PACE_SURPRISE,2.5
2024-08-12,US,ETHANOL_PACE_SURPRISE,1.6
2024-08-19,US,ETHANOL_PACE_SURPRISE,2.9
2024-08-26,US,ETHANOL_PACE_SURPRISE,3.1
2024-09-02,US,ETHANOL_PACE_SURPRISE,4.4
2024-09-09,US,ETHANOL_PACE_SURPRISE,5.1
2024-09-16,US,ETHANOL_PACE_SURPRISE,5.6
2024-09-23,US,ETHANOL_PACE_SURPRISE,5.7
2024-09-30,US,ETHANOL_PACE_SURPRISE,5.2
2024-10-07,US,ETHANOL_PACE_SURPRISE,3.5
2024-10-14,US,ETHANOL_PACE_SURPRISE,4.6
2024-10-21,US,ETHANOL_PACE_SURPRISE,5.3
2024-10-28,US,ETHANOL_PACE_SURPRISE,4.9
2024-11-04,US,ETHANOL_PACE_SURPRISE,3.9
2024-11-11,US,ETHANOL_PACE_SURPRISE,2.9
2024-11-18,US,ETHANOL_PACE_SURPRISE,3.1
2024-11-25,US,ETHANOL_PACE_SURPRISE,3.3
