week_ending,commodity,metric,value
2013-06-03,CORN,EXPORT_PACE_SURPRISE,-2.9
2013-06-10,CORN,EXPORT_PACE_SURPRISE,-4.2
2013-06-17,CORN,EXPORT_PACE_SURPRISE,-5.6
2013-06-24,CORN,EXPORT_PACE_SURPRISE,-5.0
2013-07-01,CORN,EXPORT_PACE_SURPRISE,-5.2
2013-07-08,CORN,EXPORT_PACE_SURPRISE,-5.3
2013-07-15,CORN,EXPORT_PACE_SURPRISE,-5.3
2013-07-22,CORN,EXPORT_PACE_SURPRISE,-4.8
2013-07-29,CORN,EXPORT_PACE_SURPRISE,-4.1
2013-08-05,CORN,EXPORT_PACE_SURPRISE,-3.7
2013-08-12,CORN,EXPORT_PACE_SURPRISE,-3.5
2013-08-19,CORN,EXPORT_PACE_SURPRISE,-3.4
2013-08-26,CORN,EXPORT_PACE_SURPRISE,-3.1
2013-09-02,CORN,EXPORT_PACE_SURPRISE,-3.0
2013-09-09,CORN,EXPORT_PACE_SURPRISE,-0.9
2013-09-16,CORN,EXPORT_PACE_SURPRISE,-2.2
2013-09-23,CORN,EXPORT_PACE_SURPRISE,-3.5
2013-09-30,CORN,EXPORT_PACE_SURPRISE,-3.7
2013-10-07,CORN,EXPORT_PACE_SURPRISE,-6.8
2013-10-14,CORN,EXPORT_PACE_SURPRISE,-7.9
2013-10-21,CORN,EXPORT_PACE_SURPRISE,-9.2
2013-10-28,CORN,EXPORT_PACE_SURPRISE,-8.2
2013-11-04,CORN,EXPORT_PACE_SURPRISE,-8.0
2013-11-11,CORN,EXPORT_PACE_SURPRISE,-10.1
2013-11-18,CORN,EXPORT_PACE_SURPRISE,-9.4
2013-11-25,CORN,EXPORT_PACE_SURPRISE,-10.2
2014-06-02,CORN,EXPORT_PACE_SURPRISE,-0.2
2014-06-09,CORN,EXPORT_PACE_SURPRISE,-0.9
2014-06-16,CORN,EXPORT_PACE_SURPRISE,-1.1
2014-06-23,CORN,EXPORT_PACE_SURPRISE,-2.2
2014-06-30,CORN,EXPORT_PACE_SURPRISE,-1.5
2014-07-07,CORN,EXPORT_PACE_SURPRISE,-1.3
2014-07-14,CORN,EXPORT_PACE_SURPRISE,-1.4
2014-07-21,CORN,EXPORT_PACE_SURPRISE,-0.2
2014-07-28,CORN,EXPORT_PACE_SURPRISE,-1.0
2014-08-04,CORN,EXPORT_PACE_SURPRISE,-0.8
2014-08-11,CORN,EXPORT_PACE_SURPRISE,-0.6
2014-08-18,CORN,EXPORT_PACE_SURPRISE,-2.5
2014-08-25,CORN,EXPORT_PACE_SURPRISE,-3.2
2014-09-01,CORN,EXPORT_PACE_SURPRISE,-5.4
2014-09-08,CORN,EXPORT_PACE_SURPRISE,-6.6
2014-09-15,CORN,EXPORT_PACE_SURPRISE,-5.5
2014-09-22,CORN,EXPORT_PACE_SURPRISE,-4.7
2014-09-29,CORN,EXPORT_PACE_SURPRISE,-3.9
2014-10-06,CORN,EXPORT_PACE_SURPRISE,-2.8
2014-10-13,CORN,EXPORT_PACE_SURPRISE,-2.3
2014-10-20,CORN,EXPORT_PACE_SURPRISE,-2.0
2014-10-27,CORN,EXPORT_PACE_SURPRISE,-1.9
2014-11-03,CORN,EXPORT_PACE_SURPRISE,-3.7
2014-11-10,CORN,EXPORT_PACE_SURPRISE,-4.4
2014-11-17,CORN,EXPORT_PACE_SURPRISE,-5.7
2014-11-24,CORN,EXPORT_PACE_SURPRISE,-5.5
2015-06-01,CORN,EXPORT_PACE_SURPRISE,-5.2
2015-06-08,CORN,EXPORT_PACE_SURPRISE,-6.0
2015-06-15,CORN,EXPORT_PACE_SURPRISE,-4.7
2015-06-22,CORN,EXPORT_PACE_SURPRISE,-5.7
2015-06-29,CORN,EXPORT_PACE_SURPRISE,-7.3
2015-07-06,CORN,EXPORT_PACE_SURPRISE,-7.7
2015-07-13,CORN,EXPORT_PACE_SURPRISE,-8.1
2015-07-20,CORN,EXPORT_PACE_SURPRISE,-7.0
2015-07-27,CORN,EXPORT_PACE_SURPRISE,-7.1
2015-08-03,CORN,EXPORT_PACE_SURPRISE,-6.4
2015-08-10,CORN,EXPORT_PACE_SURPRISE,-5.4
2015-08-17,CORN,EXPORT_PACE_SURPRISE,-7.7
2015-08-24,CORN,EXPORT_PACE_SURPRISE,-9.2
2015-08-31,CORN,EXPORT_PACE_SURPRISE,-8.1
2015-09-07,CORN,EXPORT_PACE_SURPRISE,-8.1
2015-09-14,CORN,EXPORT_PACE_SURPRISE,-8.0
2015-09-21,CORN,EXPORT_PACE_SURPRISE,-7.5
2015-09-28,CORN,EXPORT_PACE_SURPRISE,-8.6
2015-10-05,CORN,EXPORT_PACE_SURPRISE,-7.5
2015-10-12,CORN,EXPORT_PACE_SURPRISE,-8.5
2015-10-19,CORN,EXPORT_PACE_SURPRISE,-7.7
2015-10-26,CORN,EXPORT_PACE_SURPRISE,-7.0
2015-11-02,CORN,EXPORT_PACE_SURPRISE,-6.2
2015-11-09,CORN,EXPORT_PACE_SURPRISE,-7.0
2015-11-16,CORN,EXPORT_PACE_SURPRISE,-8.5
2015-11-23,CORN,EXPORT_PACE_SURPRISE,-8.8
2015-11-30,CORN,EXPORT_PACE_SURPRISE,-6.8
2016-06-06,CORN,EXPORT_PACE_SURPRISE,2.3
2016-06-13,CORN,EXPORT_PACE_SURPRISE,3.9
2016-06-20,CORN,EXPORT_PACE_SURPRISE,3.9
2016-06-27,CORN,EXPORT_PACE_SURPRISE,3.7
2016-07-04,CORN,EXPORT_PACE_SURPRISE,2.7
2016-07-11,CORN,EXPORT_PACE_SURPRISE,0.6
2016-07-18,CORN,EXPORT_PACE_SURPRISE,0.5
2016-07-25,CORN,EXPORT_PACE_SURPRISE,1.6
2016-08-01,CORN,EXPORT_PACE_SURPRISE,1.4
2016-08-08,CORN,EXPORT_PACE_SURPRISE,1.9
2016-08-15,CORN,EXPORT_PACE_SURPRISE,2.1
2016-08-22,CORN,EXPORT_PACE_SURPRISE,3.4
2016-08-29,CORN,EXPORT_PACE_SURPRISE,3.7
2016-09-05,CORN,EXPORT_PACE_SURPRISE,3.6
2016-09-12,CORN,EXPORT_PACE_SURPRISE,4.3
2016-09-19,CORN,EXPORT_PACE_SURPRISE,5.7
2016-09-26,CORN,EXPORT_PACE_SURPRISE,7.4
2016-10-03,CORN,EXPORT_PACE_SURPRISE,5.5
2016-10-10,CORN,EXPORT_PACE_SURPRISE,6.1
2016-10-17,CORN,EXPORT_PACE_SURPRISE,4.9
2016-10-24,CORN,EXPORT_PACE_SURPRISE,5.0
2016-10-31,CORN,EXPORT_PACE_SURPRISE,4.4
2016-11-07,CORN,EXPORT_PACE_SURPRISE,5.2
2016-11-14,CORN,EXPORT_PACE_SURPRISE,3.4
2016-11-21,CORN,EXPORT_PACE_SURPRISE,1.7
2016-11-28,CORN,EXPORT_PACE_SURPRISE,1.5
2017-06-05,CORN,EXPORT_PACE_SURPRISE,4.9
2017-06-12,CORN,EXPORT_PACE_SURPRISE,6.3
2017-06-19,CORN,EXPORT_PACE_SURPRISE,4.5
2017-06-26,CORN,EXPORT_PACE_SURPRISE,4.6
2017-07-03,CORN,EXPORT_PACE_SURPRISE,4.9
2017-07-10,CORN,EXPORT_PACE_SURPRISE,4.6
2017-07-17,CORN,EXPORT_PACE_SURPRISE,5.3
2017-07-24,CORN,EXPORT_PACE_SURPRISE,6.2
2017-07-31,CORN,EXPORT_PACE_SURPRISE,7.3
2017-08-07,CORN,EXPORT_PACE_SURPRISE,6.8
2017-08-14,CORN,EXPORT_PACE_SURPRISE,5.9
2017-08-21,CORN,EXPORT_PACE_SURPRISE,5.5
2017-08-28,CORN,EXPORT_PACE_SURPRISE,7.2
2017-09-04,CORN,EXPORT_PACE_SURPRISE,5.2
