week_ending,commodity,metric,value
2013-06-03,SOYBEANS,EXPORT_PACE_SURPRISE,5.6
2013-06-10,SOYBEANS,EXPORT_PACE_SURPRISE,4.8
2013-06-17,SOYBEANS,EXPORT_PACE_SURPRISE,4.3
2013-06-24,SOYBEANS,EXPORT_PACE_SURPRISE,7.1
2013-07-01,SOYBEANS,EXPORT_PACE_SURPRISE,8.7
2013-07-08,SOYBEANS,EXPORT_PACE_SURPRISE,7.3
2013-07-15,SOYBEANS,EXPORT_PACE_SURPRISE,8.1
2013-07-22,SOYBEANS,EXPORT_PACE_SURPRISE,8.5
2013-07-29,SOYBEANS,EXPORT_PACE_SURPRISE,8.2
2013-08-05,SOYBEANS,EXPORT_PACE_SURPRISE,7.2
2013-08-12,SOYBEANS,EXPORT_PACE_SURPRISE,6.5
2013-08-19,SOYBEANS,EXPORT_PACE_SURPRISE,4.0
2013-08-26,SOYBEANS,EXPORT_PACE_SURPRISE,3.2
2013-09-02,SOYBEANS,EXPORT_PACE_SURPRISE,1.9
2013-09-09,SOYBEANS,EXPORT_PACE_SURPRISE,0.2
2013-09-16,SOYBEANS,EXPORT_PACE_SURPRISE,-0.7
2013-09-23,SOYBEANS,EXPORT_PACE_SURPRISE,-1.5
2013-09-30,SOYBEANS,EXPORT_PACE_SURPRISE,-0.4
2013-10-07,SOYBEANS,EXPORT_PACE_SURPRISE,0.4
2013-10-14,SOYBEANS,EXPORT_PACE_SURPRISE,-0.2
2013-10-21,SOYBEANS,EXPORT_PACE_SURPRISE,-0.9
2013-10-28,SOYBEANS,EXPORT_PACE_SURPRISE,-2.1
2013-11-04,SOYBEANS,EXPORT_PACE_SURPRISE,-2.7
2013-11-11,SOYBEANS,EXPORT_PACE_SURPRISE,-3.5
2013-11-18,SOYBEANS,EXPORT_PACE_SURPRISE,-3.8
2013-11-25,SOYBEANS,EXPORT_PACE_SURPRISE,-3.3
2014-06-02,SOYBEANS,EXPORT_PACE_SURPRISE,7.0
2014-06-09,SOYBEANS,EXPORT_PACE_SURPRISE,6.9
2014-06-16,SOYBEANS,EXPORT_PACE_SURPRISE,6.9
2014-06-23,SOYBEANS,EXPORT_PACE_SURPRISE,7.4
2014-06-30,SOYBEANS,EXPORT_PACE_SURPRISE,7.8
2014-07-07,SOYBEANS,EXPORT_PACE_SURPRISE,8.1
2014-07-14,SOYBEANS,EXPORT_PACE_SURPRISE,7.8
2014-07-21,SOYBEANS,EXPORT_PACE_SURPRISE,9.5
2014-07-28,SOYBEANS,EXPORT_PACE_SURPRISE,10.1
2014-08-04,SOYBEANS,EXPORT_PACE_SURPRISE,8.7
2014-08-11,SOYBEANS,EXPORT_PACE_SURPRISE,8.9
2014-08-18,SOYBEANS,EXPORT_PACE_SURPRISE,9.8
2014-08-25,SOYBEANS,EXPORT_PACE_SURPRISE,10.7
2014-09-01,SOYBEANS,EXPORT_PACE_SURPRISE,9.0
2014-09-08,SOYBEANS,EXPORT_PACE_SURPRISE,9.6
2014-09-15,SOYBEANS,EXPORT_PACE_SURPRISE,11.0
2014-09-22,SOYBEANS,EXPORT_PACE_SURPRISE,11.7
2014-09-29,SOYBEANS,EXPORT_PACE_SURPRISE,11.4
2014-10-06,SOYBEANS,EXPORT_PACE_SURPRISE,10.8
2014-10-13,SOYBEANS,EXPORT_PACE_SURPRISE,10.9
2014-10-20,SOYBEANS,EXPORT_PACE_SURPRISE,11.7
2014-10-27,SOYBEANS,EXPORT_PACE_SURPRISE,11.7
2014-11-03,SOYBEANS,EXPORT_PACE_SURPRISE,12.1
2014-11-10,SOYBEANS,EXPORT_PACE_SURPRISE,12.0
2014-11-17,SOYBEANS,EXPORT_PACE_SURPRISE,12.7
2014-11-24,SOYBEANS,EXPORT_PACE_SURPRISE,11.3
2015-06-01,SOYBEANS,EXPORT_PACE_SURPRISE,2.3
2015-06-08,SOYBEANS,EXPORT_PACE_SURPRISE,1.4
2015-06-15,SOYBEANS,EXPORT_PACE_SURPRISE,0.6
2015-06-22,SOYBEANS,EXPORT_PACE_SURPRISE,-0.7
2015-06-29,SOYBEANS,EXPORT_PACE_SURPRISE,-1.6
2015-07-06,SOYBEANS,EXPORT_PACE_SURPRISE,-1.4
2015-07-13,SOYBEANS,EXPORT_PACE_SURPRISE,-2.2
2015-07-20,SOYBEANS,EXPORT_PACE_SURPRISE,-3.4
2015-07-27,SOYBEANS,EXPORT_PACE_SURPRISE,-4.0
2015-08-03,SOYBEANS,EXPORT_PACE_SURPRISE,-3.5
2015-08-10,SOYBEANS,EXPORT_PACE_SURPRISE,-4.7
2015-08-17,SOYBEANS,EXPORT_PACE_SURPRISE,-5.3
2015-08-24,SOYBEANS,EXPORT_PACE_SURPRISE,-6.2
2015-08-31,SOYBEANS,EXPORT_PACE_SURPRISE,-5.8
2015-09-07,SOYBEANS,EXPORT_PACE_SURPRISE,-7.1
2015-09-14,SOYBEANS,EXPORT_PACE_SURPRISE,-6.1
2015-09-21,SOYBEANS,EXPORT_PACE_SURPRISE,-6.8
2015-09-28,SOYBEANS,EXPORT_PACE_SURPRISE,-6.7
