week_ending,commodity,metric,value
2013-04-01,WHEAT,EXPORT_PACE_SURPRISE,4.3
2013-04-08,WHEAT,EXPORT_PACE_SURPRISE,3.8
2013-04-15,WHEAT,EXPORT_PACE_SURPRISE,2.6
2013-04-22,WHEAT,EXPORT_PACE_SURPRISE,3.2
2013-04-29,WHEAT,EXPORT_PACE_SURPRISE,4.2
2013-05-06,WHEAT,EXPORT_PACE_SURPRISE,3.5
2013-05-13,WHEAT,EXPORT_PACE_SURPRISE,2.5
2013-05-20,WHEAT,EXPORT_PACE_SURPRISE,2.0
2013-05-27,WHEAT,EXPORT_PACE_SURPRISE,1.6
2013-06-03,WHEAT,EXPORT_PACE_SURPRISE,2.5
2013-06-10,WHEAT,EXPORT_PACE_SURPRISE,2.1
2013-06-17,WHEAT,EXPORT_PACE_SURPRISE,2.7
2013-06-24,WHEAT,EXPORT_PACE_SURPRISE,1.6
2013-07-01,WHEAT,EXPORT_PACE_SURPRISE,-0.6
2013-07-08,WHEAT,EXPORT_PACE_SURPRISE,0.1
2013-07-15,WHEAT,EXPORT_PACE_SURPRISE,1.1
2013-07-22,WHEAT,EXPORT_PACE_SURPRISE,-0.6
2013-07-29,WHEAT,EXPORT_PACE_SURPRISE,-1.4
2013-08-05,WHEAT,EXPORT_PACE_SURPRISE,-1.0
2013-08-12,WHEAT,EXPORT_PACE_SURPRISE,1.2
2013-08-19,WHEAT,EXPORT_PACE_SURPRISE,1.8
2013-08-26,WHEAT,EXPORT_PACE_SURPRISE,0.5
2013-09-02,WHEAT,EXPORT_PACE_SURPRISE,1.5
2013-09-09,WHEAT,EXPORT_PACE_SURPRISE,2.1
2013-09-16,WHEAT,EXPORT_PACE_SURPRISE,3.8
2013-09-23,WHEAT,EXPORT_PACE_SURPRISE,3.1
2013-09-30,WHEAT,EXPORT_PACE_SURPRISE,2.3
2013-10-07,WHEAT,EXPORT_PACE_SURPRISE,4.1
2013-10-14,WHEAT,EXPORT_PACE_SURPRISE,5.0
2013-10-21,WHEAT,EXPORT_PACE_SURPRISE,3.7
2013-10-28,WHEAT,EXPORT_PACE_SURPRISE,1.9
2013-11-04,WHEAT,EXPORT_PACE_SURPRISE,2.8
2013-11-11,WHEAT,EXPORT_PACE_SURPRISE,3.0
2013-11-18,WHEAT,EXPORT_PACE_SURPRISE,2.1
2013-11-25,WHEAT,EXPORT_PACE_SURPRISE,-0.9
2014-04-07,WHEAT,EXPORT_PACE_SURPRISE,0.2
2014-04-14,WHEAT,EXPORT_PACE_SURPRISE,-0.0
2014-04-21,WHEAT,EXPORT_PACE_SURPRISE,-1.7
2014-04-28,WHEAT,EXPORT_PACE_SURPRISE,0.4
2014-05-05,WHEAT,EXPORT_PACE_SURPRISE,-0.1
2014-05-12,WHEAT,EXPORT_PACE_SURPRISE,0.8
2014-05-19,WHEAT,EXPORT_PACE_SURPRISE,-0.6
2014-05-26,WHEAT,EXPORT_PACE_SURPRISE,-0.8
2014-06-02,WHEAT,EXPORT_PACE_SURPRISE,-2.6
2014-06-09,WHEAT,EXPORT_PACE_SURPRISE,-1.4
2014-06-16,WHEAT,EXPORT_PACE_SURPRISE,1.3
2014-06-23,WHEAT,EXPORT_PACE_SURPRISE,0.5
2014-06-30,WHEAT,EXPORT_PACE_SURPRISE,-0.8
2014-07-07,WHEAT,EXPORT_PACE_SURPRISE,1.0
2014-07-14,WHEAT,EXPORT_PACE_SURPRISE,0.6
2014-07-21,WHEAT,EXPORT_PACE_SURPRISE,0.5
2014-07-28,WHEAT,EXPORT_PACE_SURPRISE,-0.5
2014-08-04,WHEAT,EXPORT_PACE_SURPRISE,-0.7
2014-08-11,WHEAT,EXPORT_PACE_SURPRISE,-0.8
2014-08-18,WHEAT,EXPORT_PACE_SURPRISE,0.1
