Commodity,Region,Attribute,MarketYear,ReportDate,Value,Unit
Corn,United States,Yield per Harvested Acre,2013/14,2013-07-12,158.3,bu/acre
Corn,United States,Ending Stocks,2013/14,2013-07-12,1941,million bushels
Corn,United States,Yield per Harvested Acre,2013/14,2013-08-12,161.0,bu/acre
Corn,United States,Ending Stocks,2013/14,2013-08-12,2082,million bushels
Corn,United States,Yield per Harvested Acre,2013/14,2013-09-12,164.0,bu/acre
Corn,United States,Ending Stocks,2013/14,2013-09-12,2210,million bushels
Corn,United States,Yield per Harvested Acre,2013/14,2013-10-11,167.7,bu/acre
Corn,United States,Ending Stocks,2013/14,2013-10-11,2393,million bushels
Corn,United States,Yield per Harvested Acre,2013/14,2013-11-09,170.0,bu/acre
Corn,United States,Ending Stocks,2013/14,2013-11-09,2484,million bushels
Corn,United States,Yield per Harvested Acre,2014/15,2014-07-12,160.3,bu/acre
Corn,United States,Ending Stocks,2014/15,2014-07-12,1533,million bushels
Corn,United States,Yield per Harvested Acre,2014/15,2014-08-12,159.2,bu/acre
Corn,United States,Ending Stocks,2014/15,2014-08-12,1447,million bushels
Corn,United States,Yield per Harvested Acre,2014/15,2014-09-12,156.9,bu/acre
Corn,United States,Ending Stocks,2014/15,2014-09-12,1311,million bushels
Corn,United States,Yield per Harvested Acre,2014/15,2014-10-11,155.0,bu/acre
Corn,United States,Ending Stocks,2014/15,2014-10-11,1253,million bushels
Corn,United States,Yield per Harvested Acre,2014/15,2014-11-09,153.7,bu/acre
Corn,United States,Ending Stocks,2014/15,2014-11-09,1178,million bushels
Corn,United States,Yield per Harvested Acre,2015/16,2015-07-12,158.1,bu/acre
Corn,United States,Ending Stocks,2015/16,2015-07-12,1669,million bushels
Corn,United States,Yield per Harvested Acre,2015/16,2015-08-12,160.3,bu/acre
Corn,United States,Ending Stocks,2015/16,2015-08-12,1745,million bushels
Corn,United States,Yield per Harvested Acre,2015/16,2015-09-12,162.0,bu/acre
Corn,United States,Ending Stocks,2015/16,2015-09-12,1817,million bushels
Corn,United States,Yield per Harvested Acre,2015/16,2015-10-11,163.0,bu/acre
Corn,United States,Ending Stocks,2015/16,2015-10-11,1885,million bushels
Corn,United States,Yield per Harvested Acre,2015/16,2015-11-09,163.8,bu/acre
Corn,United States,Ending Stocks,2015/16,2015-11-09,1929,million bushels
Corn,United States,Yield per Harvested Acre,2016/17,2016-07-12,162.1,bu/acre
Corn,United States,Ending Stocks,2016/17,2016-07-12,1846,million bushels
Corn,United States,Yield per Harvested Acre,2016/17,2016-08-12,163.5,bu/acre
Corn,United States,Ending Stocks,2016/17,2016-08-12,1940,million bushels
Corn,United States,Yield per Harvested Acre,2016/17,2016-09-12,163.8,bu/acre
Corn,United States,Ending Stocks,2016/17,2016-09-12,1931,million bushels
Corn,United States,Yield per Harvested Acre,2016/17,2016-10-11,164.6,bu/acre
Corn,United States,Ending Stocks,2016/17,2016-10-11,1964,million bushels
Corn,United States,Yield per Harvested Acre,2016/17,2016-11-09,163.9,bu/acre
Corn,United States,Ending Stocks,2016/17,2016-11-09,1937,million bushels
Corn,United States,Yield per Harvested Acre,2017/18,2017-07-12,164.4,bu/acre
Corn,United States,Ending Stocks,2017/18,2017-07-12,1772,million bushels
Corn,United States,Yield per Harvested Acre,2017/18,2017-08-12,163.6,bu/acre
Corn,United States,Ending Stocks,2017/18,2017-08-12,1668,million bushels
Corn,United States,Yield per Harvested Acre,2017/18,2017-09-12,163.6,bu/acre
Corn,United States,Ending Stocks,2017/18,2017-09-12,1602,million bushels
Corn,United States,Yield per Harvested Acre,2017/18,2017-10-11,162.8,bu/acre
Corn,United States,Ending Stocks,2017/18,2017-10-11,1478,million bushels
Corn,United States,Yield per Harvested Acre,2017/18,2017-11-09,161.6,bu/acre
Corn,United States,Ending Stocks,2017/18,2017-11-09,1349,million bushels
Corn,United States,Yield per Harvested Acre,2018/19,2018-07-12,163.7,bu/acre
Corn,United States,Ending Stocks,2018/19,2018-07-12,1913,million bushels
Corn,United States,Yield per Harvested Acre,2018/19,2018-08-12,164.4,bu/acre
Corn,United States,Ending Stocks,2018/19,2018-08-12,1928,million bushels
Corn,United States,Yield per Harvested Acre,2018/19,2018-09-12,164.9,bu/acre
Corn,United States,Ending Stocks,2018/19,2018-09-12,1907,million bushels
Corn,United States,Yield per Harvested Acre,2018/19,2018-10-11,164.1,bu/acre
Corn,United States,Ending Stocks,2018/19,2018-10-11,1829,million bushels
Corn,United States,Yield per Harvested Acre,2018/19,2018-11-09,166.3,bu/acre
Corn,United States,Ending Stocks,2018/19,2018-11-09,1911,million bushels
Corn,United States,Yield per Harvested Acre,2019/20,2019-07-12,163.4,bu/acre
Corn,United States,Ending Stocks,2019/20,2019-07-12,1659,million bushels
Corn,United States,Yield per Harvested Acre,2019/20,2019-08-12,162.7,bu/acre
Corn,United States,Ending Stocks,2019/20,2019-08-12,1671,million bushels
Corn,United States,Yield per Harvested Acre,2019/20,2019-09-12,160.2,bu/acre
Corn,United States,Ending Stocks,2019/20,2019-09-12,1537,million bushels
Corn,United States,Yield per Harvested Acre,2019/20,2019-10-11,157.2,bu/acre
Corn,United States,Ending Stocks,2019/20,2019-10-11,1415,million bushels
Corn,United States,Yield per Harvested Acre,2019/20,2019-11-09,155.8,bu/acre
Corn,United States,Ending Stocks,2019/20,2019-11-09,1370,million bushels
Corn,United States,Yield per Harvested Acre,2020/21,2020-07-12,167.0,bu/acre
Corn,United States,Ending Stocks,2020/21,2020-07-12,2032,million bushels
Corn,United States,Yield per Harvested Acre,2020/21,2020-08-12,165.0,bu/acre
Corn,United States,Ending Stocks,2020/21,2020-08-12,1873,million bushels
Corn,United States,Yield per Harvested Acre,2020/21,2020-09-12,162.5,bu/acre
Corn,United States,Ending Stocks,2020/21,2020-09-12,1658,million bushels
Corn,United States,Yield per Harvested Acre,2020/21,2020-10-11,159.5,bu/acre
Corn,United States,Ending Stocks,2020/21,2020-10-11,1410,million bushels
Corn,United States,Yield per Harvested Acre,2020/21,2020-11-09,156.1,bu/acre
Corn,United States,Ending Stocks,2020/21,2020-11-09,1146,million bushels
Corn,United States,Yield per Harvested Acre,2021/22,2021-07-12,168.3,bu/acre
Corn,United States,Ending Stocks,2021/22,2021-07-12,1826,million bushels
Corn,United States,Yield per Harvested Acre,2021/22,2021-08-12,167.9,bu/acre
Corn,United States,Ending Stocks,2021/22,2021-08-12,1896,million bushels
Corn,United States,Yield per Harvested Acre,2021/22,2021-09-12,166.5,bu/acre
Corn,United States,Ending Stocks,2021/22,2021-09-12,1866,million bushels
Corn,United States,Yield per Harvested Acre,2021/22,2021-10-11,165.0,bu/acre
Corn,United States,Ending Stocks,2021/22,2021-10-11,1819,million bushels
Corn,United States,Yield per Harvested Acre,2021/22,2021-11-09,162.4,bu/acre
Corn,United States,Ending Stocks,2021/22,2021-11-09,1719,million bushels
Corn,United States,Yield per Harvested Acre,2022/23,2022-07-12,171.9,bu/acre
Corn,United States,Ending Stocks,2022/23,2022-07-12,1518,million bushels
Corn,United States,Yield per Harvested Acre,2022/23,2022-08-12,173.4,bu/acre
Corn,United States,Ending Stocks,2022/23,2022-08-12,1629,million bushels
Corn,United States,Yield per Harvested Acre,2022/23,2022-09-12,175.4,bu/acre
Corn,United States,Ending Stocks,2022/23,2022-09-12,1779,million bushels
Corn,United States,Yield per Harvested Acre,2022/23,2022-10-11,176.4,bu/acre
Corn,United States,Ending Stocks,2022/23,2022-10-11,1874,million bushels
Corn,United States,Yield per Harvested Acre,2022/23,2022-11-09,178.6,bu/acre
Corn,United States,Ending Stocks,2022/23,2022-11-09,2016,million bushels
Corn,United States,Yield per Harvested Acre,2023/24,2023-07-12,173.1,bu/acre
Corn,United States,Ending Stocks,2023/24,2023-07-12,1643,million bushels
Corn,United States,Yield per Harvested Acre,2023/24,2023-08-12,173.3,bu/acre
