Commodity,Region,Attribute,MarketYear,ReportDate,Value,Unit
Corn,United States,Yield per Harvested Acre,2013/14,2013-07-12,158.3,bu/acre
Corn,United States,Ending Stocks,2013/14,2013-07-12,1946,million bushels
Corn,United States,Yield per Harvested Acre,2013/14,2013-08-12,161.4,bu/acre
Corn,United States,Ending Stocks,2013/14,2013-08-12,2142,million bushels
Corn,United States,Yield per Harvested Acre,2013/14,2013-09-12,164.2,bu/acre
Corn,United States,Ending Stocks,2013/14,2013-09-12,2288,million bushels
Corn,United States,Yield per Harvested Acre,2013/14,2013-10-11,167.4,bu/acre
Corn,United States,Ending Stocks,2013/14,2013-10-11,2486,million bushels
Corn,United States,Yield per Harvested Acre,2013/14,2013-11-09,169.3,bu/acre
Corn,United States,Ending Stocks,2013/14,2013-11-09,2619,million bushels
Corn,United States,Yield per Harvested Acre,2014/15,2014-07-12,160.3,bu/acre
Corn,United States,Ending Stocks,2014/15,2014-07-12,1521,million bushels
Corn,United States,Yield per Harvested Acre,2014/15,2014-08-12,159.1,bu/acre
Corn,United States,Ending Stocks,2014/15,2014-08-12,1485,million bushels
Corn,United States,Yield per Harvested Acre,2014/15,2014-09-12,157.2,bu/acre
Corn,United States,Ending Stocks,2014/15,2014-09-12,1447,million bushels
Corn,United States,Yield per Harvested Acre,2014/15,2014-10-11,155.7,bu/acre
Corn,United States,Ending Stocks,2014/15,2014-10-11,1445,million bushels
Corn,United States,Yield per Harvested Acre,2014/15,2014-11-09,154.9,bu/acre
Corn,United States,Ending Stocks,2014/15,2014-11-09,1455,million bushels
Corn,United States,Yield per Harvested Acre,2015/16,2015-07-12,158.1,bu/acre
Corn,United States,Ending Stocks,2015/16,2015-07-12,1664,million bushels
Corn,United States,Yield per Harvested Acre,2015/16,2015-08-12,159.8,bu/acre
Corn,United States,Ending Stocks,2015/16,2015-08-12,1745,million bushels
Corn,United States,Yield per Harvested Acre,2015/16,2015-09-12,162.2,bu/acre
Corn,United States,Ending Stocks,2015/16,2015-09-12,1910,million bushels
Corn,United States,Yield per Harvested Acre,2015/16,2015-10-11,162.7,bu/acre
Corn,United States,Ending Stocks,2015/16,2015-10-11,1980,million bushels
Corn,United States,Yield per Harvested Acre,2015/16,2015-11-09,162.6,bu/acre
Corn,United States,Ending Stocks,2015/16,2015-11-09,1997,million bushels
Corn,United States,Yield per Harvested Acre,2016/17,2016-07-12,162.1,bu/acre
Corn,United States,Ending Stocks,2016/17,2016-07-12,1848,million bushels
Corn,United States,Yield per Harvested Acre,2016/17,2016-08-12,162.7,bu/acre
Corn,United States,Ending Stocks,2016/17,2016-08-12,1906,million bushels
Corn,United States,Yield per Harvested Acre,2016/17,2016-09-12,163.3,bu/acre
Corn,United States,Ending Stocks,2016/17,2016-09-12,1910,million bushels
Corn,United States,Yield per Harvested Acre,2016/17,2016-10-11,165.1,bu/acre
Corn,United States,Ending Stocks,2016/17,2016-10-11,1982,million bushels
Corn,United States,Yield per Harvested Acre,2016/17,2016-11-09,166.1,bu/acre
Corn,United States,Ending Stocks,2016/17,2016-11-09,2026,million bushels
Corn,United States,Yield per Harvested Acre,2017/18,2017-07-12,164.4,bu/acre
Corn,United States,Ending Stocks,2017/18,2017-07-12,1770,million bushels
Corn,United States,Yield per Harvested Acre,2017/18,2017-08-12,163.9,bu/acre
Corn,United States,Ending Stocks,2017/18,2017-08-12,1741,million bushels
Corn,United States,Yield per Harvested Acre,2017/18,2017-09-12,164.0,bu/acre
Corn,United States,Ending Stocks,2017/18,2017-09-12,1765,million bushels
Corn,United States,Yield per Harvested Acre,2017/18,2017-10-11,162.2,bu/acre
Corn,United States,Ending Stocks,2017/18,2017-10-11,1669,million bushels
Corn,United States,Yield per Harvested Acre,2017/18,2017-11-09,160.4,bu/acre
Corn,United States,Ending Stocks,2017/18,2017-11-09,1582,million bushels
Corn,United States,Yield per Harvested Acre,2018/19,2018-07-12,163.7,bu/acre
Corn,United States,Ending Stocks,2018/19,2018-07-12,1917,million bushels
Corn,United States,Yield per Harvested Acre,2018/19,2018-08-12,164.8,bu/acre
Corn,United States,Ending Stocks,2018/19,2018-08-12,2014,million bushels
Corn,United States,Yield per Harvested Acre,2018/19,2018-09-12,166.6,bu/acre
Corn,United States,Ending Stocks,2018/19,2018-09-12,2099,million bushels
