Commodity,Region,Attribute,MarketYear,ReportDate,Value,Unit
Corn,United States,Yield per Harvested Acre,2013/14,2013-07-12,157.9,bu/acre
Corn,United States,Yield per Harvested Acre,2013/14,2013-08-12,159.3,bu/acre
Corn,United States,Yield per Harvested Acre,2013/14,2013-09-12,159.6,bu/acre
Corn,United States,Yield per Harvested Acre,2013/14,2013-10-11,161.1,bu/acre
Corn,United States,Yield per Harvested Acre,2013/14,2013-11-09,162.8,bu/acre
Corn,United States,Yield per Harvested Acre,2014/15,2014-07-12,159.0,bu/acre
Corn,United States,Yield per Harvested Acre,2014/15,2014-08-12,160.8,bu/acre
Corn,United States,Yield per Harvested Acre,2014/15,2014-09-12,163.1,bu/acre
Corn,United States,Yield per Harvested Acre,2014/15,2014-10-11,164.4,bu/acre
Corn,United States,Yield per Harvested Acre,2014/15,2014-11-09,164.8,bu/acre
Corn,United States,Yield per Harvested Acre,2015/16,2015-07-12,161.1,bu/acre
Corn,United States,Yield per Harvested Acre,2015/16,2015-08-12,163.4,bu/acre
Corn,United States,Yield per Harvested Acre,2015/16,2015-09-12,161.7,bu/acre
Corn,United States,Yield per Harvested Acre,2015/16,2015-10-11,162.0,bu/acre
Corn,United States,Yield per Harvested Acre,2015/16,2015-11-09,159.2,bu/acre
Corn,United States,Yield per Harvested Acre,2016/17,2016-07-12,162.2,bu/acre
Corn,United States,Yield per Harvested Acre,2016/17,2016-08-12,160.7,bu/acre
Corn,United States,Yield per Harvested Acre,2016/17,2016-09-12,158.3,bu/acre
Corn,United States,Yield per Harvested Acre,2016/17,2016-10-11,156.0,bu/acre
Corn,United States,Yield per Harvested Acre,2016/17,2016-11-09,151.6,bu/acre
Corn,United States,Yield per Harvested Acre,2017/18,2017-07-12,165.4,bu/acre
Corn,United States,Yield per Harvested Acre,2017/18,2017-08-12,165.0,bu/acre
Corn,United States,Yield per Harvested Acre,2017/18,2017-09-12,164.5,bu/acre
Corn,United States,Yield per Harvested Acre,2017/18,2017-10-11,164.7,bu/acre
Corn,United States,Yield per Harvested Acre,2017/18,2017-11-09,165.3,bu/acre
Corn,United States,Yield per Harvested Acre,2018/19,2018-07-12,166.6,bu/acre
Corn,United States,Yield per Harvested Acre,2018/19,2018-08-12,167.9,bu/acre
Corn,United States,Yield per Harvested Acre,2018/19,2018-09-12,166.4,bu/acre
Corn,United States,Yield per Harvested Acre,2018/19,2018-10-11,165.3,bu/acre
Corn,United States,Yield per Harvested Acre,2018/19,2018-11-09,164.7,bu/acre
Corn,United States,Yield per Harvested Acre,2019/20,2019-07-12,164.1,bu/acre
Corn,United States,Yield per Harvested Acre,2019/20,2019-08-12,167.4,bu/acre
Corn,United States,Yield per Harvested Acre,2019/20,2019-09-12,169.0,bu/acre
Corn,United States,Yield per Harvested Acre,2019/20,2019-10-11,172.3,bu/acre
Corn,United States,Yield per Harvested Acre,2019/20,2019-11-09,174.5,bu/acre
Corn,United States,Yield per Harvested Acre,2020/21,2020-07-12,164.6,bu/acre
Corn,United States,Yield per Harvested Acre,2020/21,2020-08-12,163.8,bu/acre
Corn,United States,Yield per Harvested Acre,2020/21,2020-09-12,164.7,bu/acre
Corn,United States,Yield per Harvested Acre,2020/21,2020-10-11,165.5,bu/acre
Corn,United States,Yield per Harvested Acre,2020/21,2020-11-09,165.5,bu/acre
Corn,United States,Yield per Harvested Acre,2021/22,2021-07-12,166.8,bu/acre
Corn,United States,Yield per Harvested Acre,2021/22,2021-08-12,168.3,bu/acre
Corn,United States,Yield per Harvested Acre,2021/22,2021-09-12,169.0,bu/acre
Corn,United States,Yield per Harvested Acre,2021/22,2021-10-11,171.0,bu/acre
Corn,United States,Yield per Harvested Acre,2021/22,2021-11-09,168.9,bu/acre
Corn,United States,Yield per Harvested Acre,2022/23,2022-07-12,172.7,bu/acre
Corn,United States,Yield per Harvested Acre,2022/23,2022-08-12,175.0,bu/acre
Corn,United States,Yield per Harvested Acre,2022/23,2022-09-12,175.0,bu/acre
Corn,United States,Yield per Harvested Acre,2022/23,2022-10-11,174.0,bu/acre
Corn,United States,Yield per Harvested Acre,2022/23,2022-11-09,172.6,bu/acre
Corn,United States,Yield per Harvested Acre,2023/24,2023-07-12,171.7,bu/acre
Corn,United States,Yield per Harvested Acre,2023/24,2023-08-12,171.4,bu/acre
Corn,United States,Yield per Harvested Acre,2023/24,2023-09-12,170.2,bu/acre
Corn,United States,Yield per Harvested Acre,2023/24,2023-10-11,169.1,bu/acre
Corn,United States,Yield per Harvested Acre,2023/24,2023-11-09,167.1,bu/acre
Corn,United States,Yield per Harvested Acre,2024/25,2024-07-12,172.3,bu/acre
Corn,United States,Yield per Harvested Acre,2024/25,2024-08-12,173.3,bu/acre
Corn,United States,Yield per Harvested Acre,2024/25,2024-09-12,176.6,bu/acre
Corn,United States,Yield per Harvested Acre,2024/25,2024-10-11,179.8,bu/acre
Corn,United States,Yield per Harvested Acre,2024/25,2024-11-09,182.0,bu/acre
