Commodity,Region,Attribute,MarketYear,ReportDate,Value,Unit
Soybeans,United States,Yield per Harvested Acre,2013/14,2013-07-12,49.9,bu/acre
Soybeans,United States,Ending Stocks,2013/14,2013-07-12,316,million bushels
Soybeans,United States,Yield per Harvested Acre,2013/14,2013-08-12,50.0,bu/acre
Soybeans,United States,Ending Stocks,2013/14,2013-08-12,280,million bushels
Soybeans,United States,Yield per Harvested Acre,2013/14,2013-09-12,49.1,bu/acre
Soybeans,United States,Ending Stocks,2013/14,2013-09-12,279,million bushels
Soybeans,United States,Yield per Harvested Acre,2013/14,2013-10-11,49.6,bu/acre
Soybeans,United States,Ending Stocks,2013/14,2013-10-11,351,million bushels
Soybeans,United States,Yield per Harvested Acre,2013/14,2013-11-09,48.8,bu/acre
Soybeans,United States,Ending Stocks,2013/14,2013-11-09,350,million bushels
Soybeans,United States,Yield per Harvested Acre,2014/15,2014-07-12,47.5,bu/acre
Soybeans,United States,Ending Stocks,2014/15,2014-07-12,365,million bushels
Soybeans,United States,Yield per Harvested Acre,2014/15,2014-08-12,47.6,bu/acre
Soybeans,United States,Ending Stocks,2014/15,2014-08-12,369,million bushels
Soybeans,United States,Yield per Harvested Acre,2014/15,2014-09-12,47.5,bu/acre
Soybeans,United States,Ending Stocks,2014/15,2014-09-12,345,million bushels
Soybeans,United States,Yield per Harvested Acre,2014/15,2014-10-11,47.6,bu/acre
Soybeans,United States,Ending Stocks,2014/15,2014-10-11,307,million bushels
Soybeans,United States,Yield per Harvested Acre,2014/15,2014-11-09,47.3,bu/acre
Soybeans,United States,Ending Stocks,2014/15,2014-11-09,258,million bushels
Soybeans,United States,Yield per Harvested Acre,2015/16,2015-07-12,44.6,bu/acre
Soybeans,United States,Ending Stocks,2015/16,2015-07-12,332,million bushels
Soybeans,United States,Yield per Harvested Acre,2015/16,2015-08-12,44.4,bu/acre
Soybeans,United States,Ending Stocks,2015/16,2015-08-12,311,million bushels
Soybeans,United States,Yield per Harvested Acre,2015/16,2015-09-12,44.9,bu/acre
Soybeans,United States,Ending Stocks,2015/16,2015-09-12,349,million bushels
Soybeans,United States,Yield per Harvested Acre,2015/16,2015-10-11,44.5,bu/acre
Soybeans,United States,Ending Stocks,2015/16,2015-10-11,335,million bushels
Soybeans,United States,Yield per Harvested Acre,2015/16,2015-11-09,44.4,bu/acre
Soybeans,United States,Ending Stocks,2015/16,2015-11-09,365,million bushels
Soybeans,United States,Yield per Harvested Acre,2016/17,2016-07-12,49.5,bu/acre
Soybeans,United States,Ending Stocks,2016/17,2016-07-12,339,million bushels
Soybeans,United States,Yield per Harvested Acre,2016/17,2016-08-12,51.2,bu/acre
Soybeans,United States,Ending Stocks,2016/17,2016-08-12,384,million bushels
Soybeans,United States,Yield per Harvested Acre,2016/17,2016-09-12,51.5,bu/acre
Soybeans,United States,Ending Stocks,2016/17,2016-09-12,389,million bushels
Soybeans,United States,Yield per Harvested Acre,2016/17,2016-10-11,52.4,bu/acre
Soybeans,United States,Ending Stocks,2016/17,2016-10-11,459,million bushels
Soybeans,United States,Yield per Harvested Acre,2016/17,2016-11-09,53.8,bu/acre
Soybeans,United States,Ending Stocks,2016/17,2016-11-09,531,million bushels
Soybeans,United States,Yield per Harvested Acre,2017/18,2017-07-12,47.3,bu/acre
Soybeans,United States,Ending Stocks,2017/18,2017-07-12,378,million bushels
Soybeans,United States,Yield per Harvested Acre,2017/18,2017-08-12,45.6,bu/acre
Soybeans,United States,Ending Stocks,2017/18,2017-08-12,373,million bushels
Soybeans,United States,Yield per Harvested Acre,2017/18,2017-09-12,44.3,bu/acre
Soybeans,United States,Ending Stocks,2017/18,2017-09-12,389,million bushels
Soybeans,United States,Yield per Harvested Acre,2017/18,2017-10-11,42.6,bu/acre
Soybeans,United States,Ending Stocks,2017/18,2017-10-11,398,million bushels
Soybeans,United States,Yield per Harvested Acre,2017/18,2017-11-09,40.6,bu/acre
Soybeans,United States,Ending Stocks,2017/18,2017-11-09,396,million bushels
Soybeans,United States,Yield per Harvested Acre,2018/19,2018-07-12,46.0,bu/acre
Soybeans,United States,Ending Stocks,2018/19,2018-07-12,391,million bushels
Soybeans,United States,Yield per Harvested Acre,2018/19,2018-08-12,48.7,bu/acre
Soybeans,United States,Ending Stocks,2018/19,2018-08-12,436,million bushels
Soybeans,United States,Yield per Harvested Acre,2018/19,2018-09-12,51.1,bu/acre
Soybeans,United States,Ending Stocks,2018/19,2018-09-12,473,million bushels
Soybeans,United States,Yield per Harvested Acre,2018/19,2018-10-11,53.4,bu/acre
Soybeans,United States,Ending Stocks,2018/19,2018-10-11,553,million bushels
Soybeans,United States,Yield per Harvested Acre,2018/19,2018-11-09,54.9,bu/acre
Soybeans,United States,Ending Stocks,2018/19,2018-11-09,571,million bushels
Soybeans,United States,Yield per Harvested Acre,2019/20,2019-07-12,46.2,bu/acre
Soybeans,United States,Ending Stocks,2019/20,2019-07-12,359,million bushels
Soybeans,United States,Yield per Harvested Acre,2019/20,2019-08-12,47.1,bu/acre
Soybeans,United States,Ending Stocks,2019/20,2019-08-12,356,million bushels
Soybeans,United States,Yield per Harvested Acre,2019/20,2019-09-12,47.6,bu/acre
Soybeans,United States,Ending Stocks,2019/20,2019-09-12,375,million bushels
Soybeans,United States,Yield per Harvested Acre,2019/20,2019-10-11,49.1,bu/acre
Soybeans,United States,Ending Stocks,2019/20,2019-10-11,444,million bushels
Soybeans,United States,Yield per Harvested Acre,2019/20,2019-11-09,49.8,bu/acre
Soybeans,United States,Ending Stocks,2019/20,2019-11-09,484,million bushels
Soybeans,United States,Yield per Harvested Acre,2020/21,2020-07-12,48.6,bu/acre
Soybeans,United States,Ending Stocks,2020/21,2020-07-12,355,million bushels
Soybeans,United States,Yield per Harvested Acre,2020/21,2020-08-12,46.7,bu/acre
Soybeans,United States,Ending Stocks,2020/21,2020-08-12,283,million bushels
Soybeans,United States,Yield per Harvested Acre,2020/21,2020-09-12,44.5,bu/acre
Soybeans,United States,Ending Stocks,2020/21,2020-09-12,319,million bushels
Soybeans,United States,Yield per Harvested Acre,2020/21,2020-10-11,42.6,bu/acre
Soybeans,United States,Ending Stocks,2020/21,2020-10-11,336,million bushels
Soybeans,United States,Yield per Harvested Acre,2020/21,2020-11-09,41.2,bu/acre
Soybeans,United States,Ending Stocks,2020/21,2020-11-09,377,million bushels
Soybeans,United States,Yield per Harvested Acre,2021/22,2021-07-12,49.8,bu/acre
Soybeans,United States,Ending Stocks,2021/22,2021-07-12,345,million bushels
Soybeans,United States,Yield per Harvested Acre,2021/22,2021-08-12,51.1,bu/acre
Soybeans,United States,Ending Stocks,2021/22,2021-08-12,351,million bushels
Soybeans,United States,Yield per Harvested Acre,2021/22,2021-09-12,52.8,bu/acre
Soybeans,United States,Ending Stocks,2021/22,2021-09-12,355,million bushels
Soybeans,United States,Yield per Harvested Acre,2021/22,2021-10-11,53.3,bu/acre
Soybeans,United States,Ending Stocks,2021/22,2021-10-11,367,million bushels
Soybeans,United States,Yield per Harvested Acre,2021/22,2021-11-09,54.3,bu/acre
Soybeans,United States,Ending Stocks,2021/22,2021-11-09,354,million bushels
Soybeans,United States,Yield per Harvested Acre,2022/23,2022-07-12,45.5,bu/acre
Soybeans,United States,Ending Stocks,2022/23,2022-07-12,363,million bushels
Soybeans,United States,Yield per Harvested Acre,2022/23,2022-08-12,43.3,bu/acre
Soybeans,United States,Ending Stocks,2022/23,2022-08-12,265,million bushels
Soybeans,United States,Yield per Harvested Acre,2022/23,2022-09-12,41.7,bu/acre
Soybeans,United States,Ending Stocks,2022/23,2022-09-12,200,million bushels
Soybeans,United States,Yield per Harvested Acre,2022/23,2022-10-11,39.8,bu/acre
Soybeans,United States,Ending Stocks,2022/23,2022-10-11,112,million bushels
Soybeans,United States,Yield per Harvested Acre,2022/23,2022-11-09,37.5,bu/acre
Soybeans,United States,Ending Stocks,2022/23,2022-11-09,-1,million bushels
Soybeans,United States,Yield per Harvested Acre,2023/24,2023-07-12,48.8,bu/acre
Soybeans,United States,Ending Stocks,2023/24,2023-07-12,327,million bushels
Soybeans,United States,Yield per Harvested Acre,2023/24,2023-08-12,45.0,bu/acre
Soybeans,United States,Ending Stocks,2023/24,2023-08-12,275,million bushels
Soybeans,United States,Yield per Harvested Acre,2023/24,2023-09-12,41.8,bu/acre
Soybeans,United States,Ending Stocks,2023/24,2023-09-12,260,million bushels
Soybeans,United States,Yield per Harvested Acre,2023/24,2023-10-11,39.4,bu/acre
Soybeans,United States,Ending Stocks,2023/24,2023-10-11,268,million bushels
Soybeans,United States,Yield per Harvested Acre,2023/24,2023-11-09,37.6,bu/acre
Soybeans,United States,Ending Stocks,2023/24,2023-11-09,238,million bushels
Soybeans,United States,Yield per Harvested Acre,2024/25,2024-07-12,49.9,bu/acre
Soybeans,United States,Ending Stocks,2024/25,2024-07-12,365,million bushels
Soybeans,United States,Yield per Harvested Acre,2024/25,2024-08-12,50.8,bu/acre
Soybeans,United States,Ending Stocks,2024/25,2024-08-12,309,million bushels
Soybeans,United States,Yield per Harvested Acre,2024/25,2024-09-12,52.0,bu/acre
Soybeans,United States,Ending Stocks,2024/25,2024-09-12,265,million bushels
Soybeans,United States,Yield per Harvested Acre,2024/25,2024-10-11,54.0,bu/acre
Soybeans,United States,Ending Stocks,2024/25,2024-10-11,267,million bushels
Soybeans,United States,Yield per Harvested Acre,2024/25,2024-11-09,56.0,bu/acre
Soybeans,United States,Ending Stocks,2024/25,2024-11-09,230,million bushels
