Commodity,Region,Attribute,MarketYear,ReportDate,Value,Unit
Soybeans,United States,Yield per Harvested Acre,2013/14,2013-07-12,44.4,bu/acre
Soybeans,United States,Yield per Harvested Acre,2013/14,2013-08-12,45.3,bu/acre
Soybeans,United States,Yield per Harvested Acre,2013/14,2013-09-12,45.6,bu/acre
Soybeans,United States,Yield per Harvested Acre,2013/14,2013-10-11,45.4,bu/acre
Soybeans,United States,Yield per Harvested Acre,2013/14,2013-11-09,45.4,bu/acre
Soybeans,United States,Yield per Harvested Acre,2014/15,2014-07-12,44.9,bu/acre
Soybeans,United States,Yield per Harvested Acre,2014/15,2014-08-12,44.6,bu/acre
Soybeans,United States,Yield per Harvested Acre,2014/15,2014-09-12,43.3,bu/acre
Soybeans,United States,Yield per Harvested Acre,2014/15,2014-10-11,42.1,bu/acre
Soybeans,United States,Yield per Harvested Acre,2014/15,2014-11-09,40.2,bu/acre
Soybeans,United States,Yield per Harvested Acre,2015/16,2015-07-12,47.1,bu/acre
Soybeans,United States,Yield per Harvested Acre,2015/16,2015-08-12,46.7,bu/acre
Soybeans,United States,Yield per Harvested Acre,2015/16,2015-09-12,45.0,bu/acre
Soybeans,United States,Yield per Harvested Acre,2015/16,2015-10-11,43.8,bu/acre
Soybeans,United States,Yield per Harvested Acre,2015/16,2015-11-09,43.0,bu/acre
Soybeans,United States,Yield per Harvested Acre,2016/17,2016-07-12,44.6,bu/acre
Soybeans,United States,Yield per Harvested Acre,2016/17,2016-08-12,44.8,bu/acre
Soybeans,United States,Yield per Harvested Acre,2016/17,2016-09-12,44.6,bu/acre
Soybeans,United States,Yield per Harvested Acre,2016/17,2016-10-11,44.3,bu/acre
Soybeans,United States,Yield per Harvested Acre,2016/17,2016-11-09,43.9,bu/acre
Soybeans,United States,Yield per Harvested Acre,2017/18,2017-07-12,49.7,bu/acre
Soybeans,United States,Yield per Harvested Acre,2017/18,2017-08-12,50.6,bu/acre
Soybeans,United States,Yield per Harvested Acre,2017/18,2017-09-12,52.1,bu/acre
Soybeans,United States,Yield per Harvested Acre,2017/18,2017-10-11,54.4,bu/acre
Soybeans,United States,Yield per Harvested Acre,2017/18,2017-11-09,55.8,bu/acre
Soybeans,United States,Yield per Harvested Acre,2018/19,2018-07-12,50.0,bu/acre
Soybeans,United States,Yield per Harvested Acre,2018/19,2018-08-12,47.3,bu/acre
Soybeans,United States,Yield per Harvested Acre,2018/19,2018-09-12,43.9,bu/acre
Soybeans,United States,Yield per Harvested Acre,2018/19,2018-10-11,41.1,bu/acre
Soybeans,United States,Yield per Harvested Acre,2018/19,2018-11-09,38.6,bu/acre
Soybeans,United States,Yield per Harvested Acre,2019/20,2019-07-12,49.2,bu/acre
Soybeans,United States,Yield per Harvested Acre,2019/20,2019-08-12,48.5,bu/acre
Soybeans,United States,Yield per Harvested Acre,2019/20,2019-09-12,48.3,bu/acre
Soybeans,United States,Yield per Harvested Acre,2019/20,2019-10-11,48.4,bu/acre
Soybeans,United States,Yield per Harvested Acre,2019/20,2019-11-09,48.2,bu/acre
Soybeans,United States,Yield per Harvested Acre,2020/21,2020-07-12,48.7,bu/acre
Soybeans,United States,Yield per Harvested Acre,2020/21,2020-08-12,46.1,bu/acre
Soybeans,United States,Yield per Harvested Acre,2020/21,2020-09-12,44.5,bu/acre
Soybeans,United States,Yield per Harvested Acre,2020/21,2020-10-11,43.0,bu/acre
Soybeans,United States,Yield per Harvested Acre,2020/21,2020-11-09,40.6,bu/acre
Soybeans,United States,Yield per Harvested Acre,2021/22,2021-07-12,50.5,bu/acre
Soybeans,United States,Yield per Harvested Acre,2021/22,2021-08-12,49.6,bu/acre
Soybeans,United States,Yield per Harvested Acre,2021/22,2021-09-12,49.2,bu/acre
Soybeans,United States,Yield per Harvested Acre,2021/22,2021-10-11,49.2,bu/acre
Soybeans,United States,Yield per Harvested Acre,2021/22,2021-11-09,50.0,bu/acre
Soybeans,United States,Yield per Harvested Acre,2022/23,2022-07-12,47.1,bu/acre
Soybeans,United States,Yield per Harvested Acre,2022/23,2022-08-12,48.0,bu/acre
Soybeans,United States,Yield per Harvested Acre,2022/23,2022-09-12,48.1,bu/acre
Soybeans,United States,Yield per Harvested Acre,2022/23,2022-10-11,48.1,bu/acre
Soybeans,United States,Yield per Harvested Acre,2022/23,2022-11-09,48.4,bu/acre
Soybeans,United States,Yield per Harvested Acre,2023/24,2023-07-12,51.6,bu/acre
Soybeans,United States,Yield per Harvested Acre,2023/24,2023-08-12,49.0,bu/acre
Soybeans,United States,Yield per Harvested Acre,2023/24,2023-09-12,46.2,bu/acre
Soybeans,United States,Yield per Harvested Acre,2023/24,2023-10-11,43.2,bu/acre
Soybeans,United States,Yield per Harvested Acre,2023/24,2023-11-09,41.3,bu/acre
Soybeans,United States,Yield per Harvested Acre,2024/25,2024-07-12,50.2,bu/acre
Soybeans,United States,Yield per Harvested Acre,2024/25,2024-08-12,50.5,bu/acre
Soybeans,United States,Yield per Harvested Acre,2024/25,2024-09-12,49.8,bu/acre
Soybeans,United States,Yield per Harvested Acre,2024/25,2024-10-11,49.5,bu/acre
Soybeans,United States,Yield per Harvested Acre,2024/25,2024-11-09,49.5,bu/acre
