Commodity,Region,Attribute,MarketYear,ReportDate,Value,Unit
Wheat,United States,Yield per Harvested Acre,2013/14,2013-04-09,46.8,bu/acre
Wheat,United States,Ending Stocks,2013/14,2013-04-09,728,million bushels
Wheat,United States,Yield per Harvested Acre,2013/14,2013-05-12,47.7,bu/acre
Wheat,United States,Ending Stocks,2013/14,2013-05-12,744,million bushels
Wheat,United States,Yield per Harvested Acre,2013/14,2013-06-11,48.9,bu/acre
Wheat,United States,Ending Stocks,2013/14,2013-06-11,773,million bushels
Wheat,United States,Yield per Harvested Acre,2013/14,2013-07-12,49.1,bu/acre
Wheat,United States,Ending Stocks,2013/14,2013-07-12,754,million bushels
Wheat,United States,Yield per Harvested Acre,2013/14,2013-08-12,49.9,bu/acre
Wheat,United States,Ending Stocks,2013/14,2013-08-12,769,million bushels
Wheat,United States,Yield per Harvested Acre,2013/14,2013-09-12,50.0,bu/acre
Wheat,United States,Ending Stocks,2013/14,2013-09-12,762,million bushels
Wheat,United States,Yield per Harvested Acre,2014/15,2014-04-09,46.1,bu/acre
Wheat,United States,Ending Stocks,2014/15,2014-04-09,771,million bushels
Wheat,United States,Yield per Harvested Acre,2014/15,2014-05-12,46.6,bu/acre
Wheat,United States,Ending Stocks,2014/15,2014-05-12,777,million bushels
Wheat,United States,Yield per Harvested Acre,2014/15,2014-06-11,46.2,bu/acre
Wheat,United States,Ending Stocks,2014/15,2014-06-11,779,million bushels
Wheat,United States,Yield per Harvested Acre,2014/15,2014-07-12,45.5,bu/acre
Wheat,United States,Ending Stocks,2014/15,2014-07-12,772,million bushels
Wheat,United States,Yield per Harvested Acre,2014/15,2014-08-12,45.4,bu/acre
Wheat,United States,Ending Stocks,2014/15,2014-08-12,762,million bushels
Wheat,United States,Yield per Harvested Acre,2014/15,2014-09-12,45.5,bu/acre
Wheat,United States,Ending Stocks,2014/15,2014-09-12,780,million bushels
Wheat,United States,Yield per Harvested Acre,2015/16,2015-04-09,47.0,bu/acre
Wheat,United States,Ending Stocks,2015/16,2015-04-09,678,million bushels
Wheat,United States,Yield per Harvested Acre,2015/16,2015-05-12,46.6,bu/acre
Wheat,United States,Ending Stocks,2015/16,2015-05-12,642,million bushels
Wheat,United States,Yield per Harvested Acre,2015/16,2015-06-11,46.9,bu/acre
Wheat,United States,Ending Stocks,2015/16,2015-06-11,657,million bushels
Wheat,United States,Yield per Harvested Acre,2015/16,2015-07-12,47.5,bu/acre
