Commodity,Region,Attribute,MarketYear,ReportDate,Value,Unit
Wheat,United States,Yield per Harvested Acre,2013/14,2013-07-12,48.0,bu/acre
Wheat,United States,Yield per Harvested Acre,2013/14,2013-08-12,46.7,bu/acre
Wheat,United States,Yield per Harvested Acre,2013/14,2013-09-12,46.9,bu/acre
Wheat,United States,Yield per Harvested Acre,2013/14,2013-10-11,47.1,bu/acre
Wheat,United States,Yield per Harvested Acre,2013/14,2013-11-09,46.8,bu/acre
Wheat,United States,Yield per Harvested Acre,2014/15,2014-07-12,43.9,bu/acre
Wheat,United States,Yield per Harvested Acre,2014/15,2014-08-12,42.7,bu/acre
Wheat,United States,Yield per Harvested Acre,2014/15,2014-09-12,39.8,bu/acre
Wheat,United States,Yield per Harvested Acre,2014/15,2014-10-11,38.2,bu/acre
Wheat,United States,Yield per Harvested Acre,2014/15,2014-11-09,36.1,bu/acre
Wheat,United States,Yield per Harvested Acre,2015/16,2015-07-12,46.5,bu/acre
Wheat,United States,Yield per Harvested Acre,2015/16,2015-08-12,47.1,bu/acre
Wheat,United States,Yield per Harvested Acre,2015/16,2015-09-12,46.8,bu/acre
Wheat,United States,Yield per Harvested Acre,2015/16,2015-10-11,45.7,bu/acre
Wheat,United States,Yield per Harvested Acre,2015/16,2015-11-09,44.9,bu/acre
Wheat,United States,Yield per Harvested Acre,2016/17,2016-07-12,48.4,bu/acre
Wheat,United States,Yield per Harvested Acre,2016/17,2016-08-12,49.7,bu/acre
Wheat,United States,Yield per Harvested Acre,2016/17,2016-09-12,51.7,bu/acre
Wheat,United States,Yield per Harvested Acre,2016/17,2016-10-11,53.6,bu/acre
Wheat,United States,Yield per Harvested Acre,2016/17,2016-11-09,55.0,bu/acre
Wheat,United States,Yield per Harvested Acre,2017/18,2017-07-12,48.2,bu/acre
Wheat,United States,Yield per Harvested Acre,2017/18,2017-08-12,47.3,bu/acre
Wheat,United States,Yield per Harvested Acre,2017/18,2017-09-12,45.7,bu/acre
Wheat,United States,Yield per Harvested Acre,2017/18,2017-10-11,45.2,bu/acre
Wheat,United States,Yield per Harvested Acre,2017/18,2017-11-09,43.4,bu/acre
Wheat,United States,Yield per Harvested Acre,2018/19,2018-07-12,48.1,bu/acre
Wheat,United States,Yield per Harvested Acre,2018/19,2018-08-12,49.4,bu/acre
Wheat,United States,Yield per Harvested Acre,2018/19,2018-09-12,49.8,bu/acre
Wheat,United States,Yield per Harvested Acre,2018/19,2018-10-11,50.4,bu/acre
Wheat,United States,Yield per Harvested Acre,2018/19,2018-11-09,51.1,bu/acre
Wheat,United States,Yield per Harvested Acre,2019/20,2019-07-12,48.1,bu/acre
Wheat,United States,Yield per Harvested Acre,2019/20,2019-08-12,48.1,bu/acre
Wheat,United States,Yield per Harvested Acre,2019/20,2019-09-12,49.3,bu/acre
Wheat,United States,Yield per Harvested Acre,2019/20,2019-10-11,49.6,bu/acre
Wheat,United States,Yield per Harvested Acre,2019/20,2019-11-09,50.5,bu/acre
Wheat,United States,Yield per Harvested Acre,2020/21,2020-07-12,47.9,bu/acre
Wheat,United States,Yield per Harvested Acre,2020/21,2020-08-12,47.4,bu/acre
Wheat,United States,Yield per Harvested Acre,2020/21,2020-09-12,46.5,bu/acre
Wheat,United States,Yield per Harvested Acre,2020/21,2020-10-11,46.5,bu/acre
Wheat,United States,Yield per Harvested Acre,2020/21,2020-11-09,48.3,bu/acre
Wheat,United States,Yield per Harvested Acre,2021/22,2021-07-12,46.4,bu/acre
Wheat,United States,Yield per Harvested Acre,2021/22,2021-08-12,48.9,bu/acre
Wheat,United States,Yield per Harvested Acre,2021/22,2021-09-12,50.8,bu/acre
Wheat,United States,Yield per Harvested Acre,2021/22,2021-10-11,51.7,bu/acre
Wheat,United States,Yield per Harvested Acre,2021/22,2021-11-09,52.9,bu/acre
Wheat,United States,Yield per Harvested Acre,2022/23,2022-07-12,45.8,bu/acre
Wheat,United States,Yield per Harvested Acre,2022/23,2022-08-12,45.4,bu/acre
Wheat,United States,Yield per Harvested Acre,2022/23,2022-09-12,44.8,bu/acre
Wheat,United States,Yield per Harvested Acre,2022/23,2022-10-11,44.1,bu/acre
Wheat,United States,Yield per Harvested Acre,2022/23,2022-11-09,44.0,bu/acre
Wheat,United States,Yield per Harvested Acre,2023/24,2023-07-12,49.0,bu/acre
Wheat,United States,Yield per Harvested Acre,2023/24,2023-08-12,49.9,bu/acre
Wheat,United States,Yield per Harvested Acre,2023/24,2023-09-12,49.6,bu/acre
Wheat,United States,Yield per Harvested Acre,2023/24,2023-10-11,50.2,bu/acre
Wheat,United States,Yield per Harvested Acre,2023/24,2023-11-09,49.1,bu/acre
Wheat,United States,Yield per Harvested Acre,2024/25,2024-07-12,52.5,bu/acre
Wheat,United States,Yield per Harvested Acre,2024/25,2024-08-12,50.3,bu/acre
Wheat,United States,Yield per Harvested Acre,2024/25,2024-09-12,47.7,bu/acre
Wheat,United States,Yield per Harvested Acre,2024/25,2024-10-11,45.0,bu/acre
Wheat,United States,Yield per Harvested Acre,2024/25,2024-11-09,42.3,bu/acre
